gene,importance_rf
PDPN,0.0
UBASH3B,0.0
RAPH1,0.0
PLBD1,0.0
MYEOV,0.0
SRGAP2D,0.0
EPPK1,0.0
LPP,0.0
PLXNA1,0.0
CD80,0.0
DFNA5,0.0
F5,0.0
COL3A1,0.0
APBB2,0.0
SRPX2,0.0
COL4A2,0.0
CAMSAP2,0.0
ANKRD50,0.0
SULT1B1,0.0
FLNA,0.0
HIST1H2BD,0.0
TUBA1C,0.0
DNAJA4,0.0
SH3PXD2B,0.0
LRRC32,0.0
GSDMB,0.0
MUC17,0.0
ERV3-1,0.0
ID1,0.0
TRANK1,0.0
TFPI,0.0
MYH9,0.0
HTRA1,0.0
XKR9,0.0
PELI1,0.0
IGF2BP2,0.0
LTBP2,0.0
LRRN1,0.0
ADAM17,0.0
B3GALT5,0.0
GSDMC,0.0
IGF2BP3,0.0
ARHGAP26,0.0
MSL3P1,0.0
GALNT3,0.0
DSG3,0.0
GXYLT2,0.0
PLXNC1,0.0
PLXDC2,0.0
ANXA3,0.0
XPO1,0.0
GLRX,0.0
SERPINB9,0.0
C1orf116,0.0
RECQL,0.0
IRF6,0.0
ARRDC3,0.0
LCN2,0.0
ITGBL1,0.0
TRIM16L,0.0
ZNF217,0.0
SCNN1A,0.0
MIR4435-2HG,0.0
SHROOM3,0.0
FAM83B,0.0
IGFBP7,0.0
TNFRSF11B,0.0
HSPG2,0.0
HLA-DQB2,0.0
TEP1,0.0
MUC13,0.0
TPM2,0.0
HOXB6,0.0
ADAM9,0.0
AP2B1,0.0
LTBP1,0.0
CFL1,0.0
IL1RAP,0.0
NET1,0.0
CDH11,0.0
CDCP1,0.0
FAM63B,0.0
ZDHHC7,0.0
SGIP1,0.0
BICD1,0.0
ADAMTS6,0.0
RUNX1,0.0
MMP14,0.0
CERS6,0.0
PFKP,0.0
LRCH1,0.0
PLA2R1,0.0
NMU,0.0
REEP3,0.0
SLC9A2,0.0
SQLE,0.0
YWHAZ,0.0
BCL2L1,0.0
HK2,0.0
SLC4A11,0.0
TMEM159,0.0
CAPG,0.0
RHBDL2,0.0
CD109,0.0
SPATS2L,0.0
ADAM10,0.0
APLP2,0.0
PLAT,0.0
MST1R,0.0
BUB1,0.0
CELSR1,0.0
AFAP1,0.0
CSTB,0.0
NRP2,0.0
ARMC9,0.0
VCL,0.0
RAB31,0.0
AHR,0.0
ACVR1,0.0
PPEF1,0.0
NCAPG2,0.0
RASA1,0.0
PERP,0.0
CAST,0.0
GOLM1,0.0
VCAN,0.0
PTBP3,0.0
TWSG1,0.0
SPTLC2,0.0
OAS3,0.0
HIST1H3H,0.0
TMOD3,0.0
ARHGAP1,0.0
DGKH,0.0
ENDOD1,0.0
PRR11,0.0
RAD21,0.0
RSAD2,0.0
LOXL2,0.0
CACNB3,0.0
F2R,0.0
HTATIP2,0.0
RRAS,0.0
THBS2,0.0
STRA6,0.0
VSIG1,0.0
P4HA1,0.0
COL8A1,0.0
CAPN2,0.0
PARP4,0.0
GALE,0.0
CENPK,0.0
ADAMTS12,0.0
FANCI,0.0
CCNB2,0.0
SYTL2,0.0
FRMD5,0.0
CTNNB1,0.0
MTMR11,0.0
CORO2A,0.0
S100A11,0.0
INPP4B,0.0
ANO1,0.0
PLAU,0.0
TRIM59,0.0
SULF1,0.0
HSD17B6,0.0
MICAL2,0.0
ARNTL2,0.0
IFI27,0.0
EFNA5,0.0
NTM,0.0
TPM4,0.0
PGK1,0.0
CEACAM6,0.0
LGALS3,0.0
SLC44A1,0.0
RUNX2,0.0
VILL,0.0
IGFBP3,0.0
MLPH,0.0
STYK1,0.0
MBOAT2,0.0
ITGB4,0.0
KCNN4,0.0
GALNT5,0.0
S100A6,0.0
NHS,0.0
AHNAK2,0.0
TMC7,0.0
APOL1,0.0
TRIM16,0.0
FN1,0.0
LEF1,0.0
FBXO32,0.0
ZNF185,0.0
SLC6A14,0.0
ASAP2,0.0
PTTG1IP,0.0
CTHRC1,0.0
S100A16,0.0
LPCAT2,0.0
COL11A1,0.0
ENO2,0.0
BCAS1,0.0
HK1,0.0
CENPI,0.0
EDNRA,0.0
UNC5B,0.0
DDX60,0.0
ANOS1,0.0
GJB2,0.0
PRR5L,0.0
ACSL5,0.0
FLNB,0.0
SCEL,0.0
ITGB5,0.0
TMSB10,0.0
TSPAN5,0.0
PLEC,0.0
SDR16C5,0.0
CTNNA1,0.0
TRIM29,0.0
HOXB5,0.0
PCDH7,0.0
LY6E,0.0
HEPH,0.0
MYOF,0.0
MALL,0.0
ITGA3,0.0
ANXA2P2,0.0
ITGA11,0.0
SEMA7A,0.0
AP1S3,0.0
MYO1E,0.0
EFNB2,0.0
BROX,0.0
TBC1D2,0.0
SLC6A6,0.0
ITGB1,0.0
CDC42BPA,0.0
PI3,0.0
ABCA12,0.0
FRMD6,0.0
MCU,0.0
ANXA2P1,0.0
TMEM154,0.0
ACTA2,0.0
TGFBI,0.0
HTRA3,0.0
TNFRSF10A,0.0
PSMB9,0.0
DNAJC13,0.0
COL1A2,0.0
TSPAN15,0.0
FAM177A1,0.0
ACTR3,0.0
CXCL5,0.0
WISP1,0.0
PLAUR,0.0
SGCB,0.0
ASPH,0.0
MB21D1,0.0
TMC5,0.0
XAF1,0.0
HPGD,0.0
C11orf80,0.0
IGFBP5,0.0
ZNF532,0.0
SMURF1,0.0
CDHR2,0.0
TUBB,0.0
TBL1XR1,0.0
B4GALT4,0.0
MPZL2,0.0
PMEPA1,0.0
ABLIM3,0.0
LBH,0.0
DPYSL3,0.0
ALDOC,0.0
MX2,0.0
MOCOS,0.0
