gene,importance_xgb
LAMB3,0.0
IFITM1,0.0
CDH3,0.0
RNF213,0.0
KITLG,0.0
IRAK3,0.0
TMPRSS3,0.0
LAMB1,0.0
ARRDC3,0.0
SRGAP2D,0.0
DUSP10,0.0
PLOD2,0.0
LY75-CD302,0.0
OSMR,0.0
ERV3-1,0.0
GRHL1,0.0
PTPN22,0.0
SERPINB3,0.0
KRT6A,0.0
TSPAN1,0.0
ALOX5,0.0
SERPINB2,0.0
ANKRD22,0.0
USP41,0.0
HLA-J,0.0
CYP2C19,0.0
NALCN,0.0
SPRR1B,0.0
SLCO1B3,0.0
SLC26A9,0.0
IGF2BP3,0.0
DSG3,0.0
MFAP5,0.0
TFF2,0.0
COL17A1,0.0
BTN3A3,0.0
DUOX2,0.0
AIM1,0.0
MACC1,0.0
TFPI,0.0
GLI3,0.0
ARHGAP11A,0.0
TFRC,0.0
ISM1,0.0
DENND3,0.0
GXYLT2,0.0
SLC2A1,0.0
PDLIM3,0.0
KNTC1,0.0
MUC1,0.0
CP,0.0
HILPDA,0.0
BTN3A2,0.0
MRC1,0.0
HMGCS1,0.0
FCGR3B,0.0
SFTA2,0.0
TMEM45A,0.0
MUC17,0.0
CKS2,0.0
MRVI1,0.0
HIST2H2BE,0.0
GLRX,0.0
C1orf116,0.0
RECQL,0.0
IRF6,0.0
SLFN5,0.0
LCN2,0.0
ITGBL1,0.0
TRIM16L,0.0
SERPINB9,0.0
TRANK1,0.0
ZNF217,0.0
MIR4435-2HG,0.0
SHROOM3,0.0
HIST2H4B,0.0
CTSC,0.0
FAM83B,0.0
IGFBP7,0.0
TNFRSF11B,0.0
HSPG2,0.0
HLA-DQB2,0.0
F5,0.0
PLXNA1,0.0
BRCA2,0.0
KPNA2,0.0
DNAJC13,0.0
TUBA1C,0.0
DFNA5,0.0
UBASH3B,0.0
CD80,0.0
STK38L,0.0
SP140L,0.0
LUM,0.0
S100A2,0.0
PIAS3,0.0
TNFAIP6,0.0
SLC9B2,0.0
WNT5A,0.0
NDNF,0.0
PDPN,0.0
SEPT7,0.0
RAPH1,0.0
MFGE8,0.0
PLBD1,0.0
AMIGO2,0.0
EPPK1,0.0
LPP,0.0
XPO1,0.0
ANXA3,0.0
SDC4,0.0
TRIO,0.0
PPFIA2,0.0
RND3,0.0
FBN1,0.0
ADAM12,0.0
LAD1,0.0
S100A4,0.0
CRABP2,0.0
THY1,0.0
MSN,0.0
LIF,0.0
GLT8D2,0.0
HMCN1,0.0
BAIAP2L1,0.0
FAS,0.0
INSIG2,0.0
SLC20A1,0.0
TGFBR1,0.0
CDCA7,0.0
COL6A3,0.0
ATP2B4,0.0
KRT6B,0.0
OLR1,0.0
NCF2,0.0
MYH9,0.0
XKR9,0.0
FUT3,0.0
PYGB,0.0
TCN1,0.0
PELI1,0.0
IGF2BP2,0.0
LTBP2,0.0
LRRN1,0.0
ADAM17,0.0
B3GALT5,0.0
HTRA1,0.0
GSDMC,0.0
CD68,0.0
PLXDC2,0.0
ARHGAP26,0.0
CCL18,0.0
MYLK,0.0
LAMA4,0.0
MSL3P1,0.0
ZEB1,0.0
EMB,0.0
SLCO4A1,0.0
MBOAT2,0.0
ANXA1,0.0
TSPAN15,0.0
KIF4A,0.0
FRMD6,0.0
TMSB10,0.0
PSEN1,0.0
ADAM10,0.0
APLP2,0.0
PLAT,0.0
MST1R,0.0
BUB1,0.0
CELSR1,0.0
AFAP1,0.0
SLC9A2,0.0
REEP3,0.0
ASAP2,0.0
NOX4,0.0
NEK2,0.0
AP3M2,0.0
KPNA7,0.0
PLA2R1,0.0
ADAM9,0.0
AP2B1,0.0
LTBP1,0.0
EPHA4,0.0
CFL1,0.0
PKM,0.0
IL1RAP,0.0
XRCC4,0.0
SPATS2L,0.0
MLPH,0.0
SQLE,0.0
MKI67,0.0
ARNTL2,0.0
CTNNB1,0.0
RALB,0.0
FRMD5,0.0
RUNX2,0.0
KRT17,0.0
ACTN4,0.0
SYTL2,0.0
IGFBP3,0.0
YWHAZ,0.0
CD109,0.0
BCL2L1,0.0
HK2,0.0
SLC4A11,0.0
ARPC2,0.0
OAS2,0.0
PML,0.0
CEACAM1,0.0
TMEM159,0.0
CAPG,0.0
RHBDL2,0.0
EZR,0.0
NET1,0.0
OSBPL10,0.0
RRAS,0.0
NRP2,0.0
PLS3,0.0
VCAN,0.0
ECM1,0.0
LOXL2,0.0
CACNB3,0.0
F2R,0.0
MGLL,0.0
HTATIP2,0.0
CRIP1,0.0
CEP55,0.0
SKAP2,0.0
GPRC5A,0.0
LEMD1,0.0
THBS2,0.0
STRA6,0.0
KIF14,0.0
VSIG1,0.0
P4HA1,0.0
EPSTI1,0.0
FER1L4,0.0
NDC80,0.0
ZDHHC7,0.0
TMEM45B,0.0
XDH,0.0
SGIP1,0.0
CDH11,0.0
PLEK2,0.0
CD9,0.0
CDCP1,0.0
OSBPL3,0.0
HOXB6,0.0
JUP,0.0
ASPM,0.0
FAM63B,0.0
KIF23,0.0
FGD6,0.0
CST2,0.0
KRT16,0.0
BICD1,0.0
ADAMTS6,0.0
RUNX1,0.0
MMP14,0.0
CERS6,0.0
PFKP,0.0
LRCH1,0.0
CSTB,0.0
TNFSF4,0.0
TSPAN5,0.0
ITGB5,0.0
TRIM59,0.0
SCEL,0.0
S100A16,0.0
PALLD,0.0
ANLN,0.0
CTNNA1,0.0
ESM1,0.0
HOXB5,0.0
PCDH7,0.0
ANO1,0.0
LY6E,0.0
HEPH,0.0
LMO7,0.0
MYOF,0.0
INPP4B,0.0
MMP11,0.0
MALL,0.0
ITGA3,0.0
ANXA2P2,0.0
LPCAT4,0.0
TNS4,0.0
ITGA11,0.0
SEMA7A,0.0
AP1S3,0.0
EGLN3,0.0
CTHRC1,0.0
PTTG1IP,0.0
SLC44A1,0.0
SEC14L2,0.0
SULF1,0.0
HSD17B6,0.0
MTMR11,0.0
MICAL2,0.0
PLAU,0.0
CTSE,0.0
EFNA5,0.0
POSTN,0.0
CEMIP,0.0
SLC16A3,0.0
NTM,0.0
LGALS3,0.0
S100P,0.0
ABHD17C,0.0
CAP1,0.0
OAS1,0.0
TPM4,0.0
LGALS3BP,0.0
PGK1,0.0
FERMT1,0.0
SERPINB5,0.0
HN1,0.0
MYO1E,0.0
EFNB2,0.0
NQO1,0.0
SAMD9,0.0
HK1,0.0
CENPI,0.0
KRT19,0.0
EDNRA,0.0
RAC1,0.0
DLGAP5,0.0
SFN,0.0
SLPI,0.0
LRRC8A,0.0
UNC5B,0.0
DDX60,0.0
CENPF,0.0
PDLIM7,0.0
ANOS1,0.0
B3GNT3,0.0
GJB2,0.0
RACGAP1,0.0
PRR5L,0.0
MELK,0.0
ACSL5,0.0
FLNB,0.0
COL10A1,0.0
BCAS1,0.0
ENO2,0.0
CARD11,0.0
PRKCI,0.0
CD55,0.0
S100A11,0.0
UBE2T,0.0
ANXA2,0.0
S100A10,0.0
RALA,0.0
FXYD3,0.0
CORO2A,0.0
BROX,0.0
TBC1D2,0.0
IGFL2,0.0
FAM83D,0.0
SLC6A6,0.0
ITGB1,0.0
CD82,0.0
CLIC1,0.0
ECT2,0.0
GAPDH,0.0
SDR16C5,0.0
LPCAT2,0.0
PLEC,0.0
COL11A1,0.0
CAMK2N1,0.0
COL8A1,0.0
CAPN2,0.0
PARP4,0.0
MCM4,0.0
CIT,0.0
FAM26E,0.0
GABRP,0.0
ARPC1B,0.0
HDAC1,0.0
MAL2,0.0
PADI1,0.0
WDR1,0.0
ATAD2,0.0
FOXL1,0.0
SHCBP1,0.0
DHRS9,0.0
PON2,0.0
GPX8,0.0
RTKN2,0.0
UBE2C,0.0
AK4,0.0
MCM6,0.0
TAP1,0.0
SULF2,0.0
CTSB,0.0
ADAM28,0.0
KIF11,0.0
YEATS2,0.0
TFAP2A,0.0
BPNT1,0.0
DDX60L,0.0
TES,0.0
CDK1,0.0
IL1RN,0.0
BHLHE41,0.0
SFXN1,0.0
BZW1,0.0
PLA2G16,0.0
VDR,0.0
FN1,0.0
MAST2,0.0
KIF18A,0.0
KIAA1524,0.0
NPC1,0.0
PATL1,0.0
SUGCT,0.0
NCAPG,0.0
TPI1,0.0
ARHGAP42,0.0
FAM72A,0.0
ARL4C,0.0
KIF26B,0.0
PGM2L1,0.0
COL5A2,0.0
ANXA8L1,0.0
SMC4,0.0
DPYSL3,0.0
ALDOC,0.0
MX2,0.0
MOCOS,0.0
ATP2C2,0.0
HPGD,0.0
XAF1,0.0
DIO2,0.0
TMC5,0.0
MB21D1,0.0
MCU,0.0
LAMC2,0.0
ITGB6,0.0
ANXA2P1,0.0
TMEM154,0.0
ACTA2,0.0
TGFBI,0.0
HTRA3,0.0
TNFRSF10A,0.0
CD58,0.0
EPS8L3,0.0
PSMB9,0.0
LBH,0.0
BMPR2,0.0
SIPA1L1,0.0
IGFBP5,0.0
SEC23A,0.0
GCNT3,0.0
EIF2AK2,0.0
DAPP1,0.0
ACSL3,0.0
ENTPD1,0.0
IFI6,0.0
CHML,0.0
TSC22D1,0.0
C11orf80,0.0
ZNF532,0.0
ABLIM3,0.0
LAMP5,0.0
TRIP13,0.0
SMURF1,0.0
APOL1,0.0
TUBB,0.0
TBL1XR1,0.0
B4GALT4,0.0
MSMO1,0.0
MPZL2,0.0
PMEPA1,0.0
FOXQ1,0.0
MSLN,0.0
ADSS,0.0
ARMC9,0.0
FANCD2,0.0
TWSG1,0.0
SPTLC2,0.0
OAS3,0.0
HIST1H3H,0.0
TMOD3,0.0
ARHGAP1,0.0
DGKH,0.0
DPY19L1,0.0
CDC42BPA,0.0
PI3,0.0
PTBP3,0.0
TMEM133,0.0
SLC16A4,0.0
MET,0.0
ZC2HC1A,0.0
PRC1,0.0
SGPP2,0.0
NT5E,0.0
DTL,0.0
FAT1,0.0
LIPH,0.0
FBXO32,0.0
GOLM1,0.0
TNIK,0.0
ENDOD1,0.0
GALE,0.0
SLC6A14,0.0
CENPK,0.0
ADAMTS12,0.0
FANCI,0.0
CCNB2,0.0
RSAD2,0.0
ZNF185,0.0
PRR11,0.0
ANTXR1,0.0
RAB31,0.0
YWHAB,0.0
AHR,0.0
DHFR,0.0
ACVR1,0.0
PPEF1,0.0
NCAPG2,0.0
RASA1,0.0
PERP,0.0
INHBA,0.0
CAST,0.0
VCL,0.0
KCNK1,0.0
RAI14,0.0
NPR3,0.0
ADGRF1,0.0
RHOF,0.0
