gene,importance_l1,rank_l1,importance_rf,rank_rf,importance_xgb,rank_xgb,log2fc,auc,log2fc_val,auc_val,stability_score,rank_score_l1,rank_score_rf,rank_score_xgb,model_consensus_score,consensus_score
PARP14,0.0,38,0.0,348,0.0,106,2.2822801150507974,0.9589248469353429,0.7713575172249927,0.7738180090282728,0.866371017656868,0.9572072072072072,0.6081081081081081,0.8806306306306306,0.8153153153153152,0.8408431664860916
IFI44,0.0,107,0.0,338,0.0006304698,45,2.829464223238915,0.9337616901029402,1.0850643549536718,0.7956759325255406,0.864718763279337,0.8795045045045045,0.6193693693693694,0.9493243243243243,0.816066066066066,0.8403924146727015
IDO1,0.0699925579557991,11,0.0,351,0.0,119,5.7482711262867525,0.9887976855278207,0.7760766429080532,0.7329531955333808,0.8608333440225915,0.9876126126126126,0.6047297297297297,0.865990990990991,0.8194444444444445,0.840138894233518
RBMS1,0.0,242,0.00022653231851762213,142,0.0017282508,28,2.506694466123932,0.9517089416672274,0.530360464480875,0.717272511285341,0.8344470649200574,0.7274774774774775,0.8400900900900901,0.9684684684684685,0.8453453453453453,0.8398962051327014
OXR1,0.0,74,0.0,335,0.0,96,1.6594433391643677,0.9314573100989032,0.5130710287479214,0.8039914468995012,0.867724337302064,0.9166666666666666,0.6227477477477478,0.8918918918918919,0.8104354354354354,0.8390798863687496
IL18,0.0,104,7.729533539454228e-05,254,0.0,143,3.2301828567583932,0.9540133216712642,0.795329109052032,0.7726300784034213,0.8633212506368143,0.8828828828828829,0.713963963963964,0.838963963963964,0.811936936936937,0.8376290937868757
NMI,0.0,39,0.0,385,0.0,85,2.982761875126152,0.9834824732557357,0.6073852744119757,0.7488714659063911,0.866169514471499,0.956081081081081,0.5664414414414415,0.9042792792792793,0.808933933933934,0.8375517242027165
RNF149,0.0,116,2.8343025058220533e-05,283,0.0,107,1.5889878658413514,0.9485130861871761,0.5626192040864808,0.7795200760275599,0.8640142381159406,0.8693693693693694,0.6813063063063063,0.8795045045045045,0.81006006006006,0.8370371490880003
CEP170,0.0,49,0.0,378,0.0,92,2.879458144385386,0.972128776155554,0.783233883345213,0.7647897362794014,0.8684587558170856,0.9448198198198198,0.5743243243243243,0.8963963963963963,0.8051801801801801,0.8368194679986329
NMU,0.1056559484917625,9,0.0,569,0.00112161,39,9.579516073471034,0.9801520554396823,0.8340309170824436,0.8289379900213827,0.904545019804255,0.9898648648648649,0.35923423423423423,0.956081081081081,0.7683933933933934,0.8364692065988242
TINAGL1,0.0,76,0.0,360,0.0,78,2.718985517728586,0.9453004104151247,0.5604984580660499,0.7830838679021145,0.8641917874460482,0.9144144144144144,0.5945945945945946,0.9121621621621622,0.8070570570570571,0.8356244222515526
MUC16,0.0,106,0.0,339,0.0,72,7.6833960808719635,0.9322478638229159,1.1855164314564037,0.7978142076502732,0.865031028988855,0.8806306306306306,0.6182432432432432,0.918918918918919,0.8059309309309309,0.835480979959893
MYO1D,0.0,66,0.0,373,0.0,88,2.053499529031824,0.9661743927874588,0.5502228415300561,0.7712045616535994,0.8686873291087662,0.9256756756756757,0.579954954954955,0.9009009009009009,0.8021771771771772,0.8354322531429716
VSNL1,0.0,95,0.0,298,0.0,114,3.3110379129381693,0.9668808450514701,0.5192694250415784,0.7552862912805893,0.8610823898258043,0.8930180180180181,0.6644144144144144,0.8716216216216216,0.8096846846846847,0.8353835372552445
GPX2,0.0,225,0.00034225187684651436,107,0.0,211,5.639782207495122,0.9750723272556011,1.070455699691137,0.7731052506533618,0.874088474262535,0.7466216216216216,0.8795045045045045,0.7623873873873874,0.7961711711711712,0.8351298227168531
PDGFC,0.0,109,0.0,334,0.0,75,2.3328818038081143,0.9277232052748434,0.8153313352340206,0.8011404133998573,0.8644317771181894,0.8772522522522522,0.6238738738738738,0.9155405405405406,0.8055555555555557,0.8349936663368726
TYMS,0.0,108,0.0,337,0.0,74,2.571803528897261,0.9761992868196192,0.6420552197671654,0.7531480161558565,0.8646674793601663,0.8783783783783784,0.6204954954954955,0.9166666666666666,0.8051801801801801,0.8349238297701732
KIF13B,0.0,67,0.0,374,0.0,89,2.2634483179707994,0.9693870685595102,0.5908953932050363,0.7676407697790449,0.8685136164433823,0.9245495495495496,0.5788288288288288,0.8997747747747747,0.8010510510510511,0.8347823337472167
CORO1C,0.0,68,0.0,376,0.0,90,2.8929463163560523,0.9798324698916773,0.6653698859586594,0.7571869802803517,0.8685046438319975,0.9234234234234234,0.5765765765765766,0.8986486486486487,0.7995495495495496,0.8340270966907736
CDC6,0.0,93,0.0,312,0.0,112,2.5175156731480857,0.9388245979950212,0.7168506628652889,0.7840342124019958,0.8614291301002721,0.8952702702702703,0.6486486486486487,0.8738738738738738,0.8059309309309309,0.8336800305156016
