Perturbation_A,Perturbation_B,K_A_perturbed,K_B_perturbed,ROC_AUC,Accuracy
-0.5,-0.5,0.37999915292523156,0.2319606325025982,0.9984861737199757,0.863768115942029
-0.5,-0.25,0.37999915292523156,0.3479409487538973,0.9980824867119693,0.8666666666666667
-0.5,-0.1,0.37999915292523156,0.41752913850467677,0.9979815649599677,0.8840579710144928
-0.5,0.0,0.37999915292523156,0.4639212650051964,0.9979142837919666,0.8985507246376812
-0.5,0.1,0.37999915292523156,0.5103133915057161,0.9978806432079661,0.9101449275362319
-0.5,0.25,0.37999915292523156,0.5799015812564955,0.9978470026239655,0.9449275362318841
-0.5,0.5,0.37999915292523156,0.6958818975077946,0.9977797214559645,0.9797101449275363
-0.25,-0.5,0.5699987293878473,0.2319606325025982,0.9986543766399785,0.863768115942029
-0.25,-0.25,0.5699987293878473,0.3479409487538973,0.9985534548879769,0.8985507246376812
-0.25,-0.1,0.5699987293878473,0.41752913850467677,0.9984188925519747,0.9449275362318841
-0.25,0.0,0.5699987293878473,0.4639212650051964,0.9983516113839737,0.9739130434782609
-0.25,0.1,0.5699987293878473,0.5103133915057161,0.998250689631972,0.9797101449275363
-0.25,0.25,0.5699987293878473,0.5799015812564955,0.9981161272959699,0.9826086956521739
-0.25,0.5,0.5699987293878473,0.6958818975077946,0.9980152055439682,0.9739130434782609
-0.1,-0.5,0.6839984752654168,0.2319606325025982,0.9986543766399785,0.8782608695652174
-0.1,-0.25,0.6839984752654168,0.3479409487538973,0.9985870954719773,0.9391304347826087
-0.1,-0.1,0.6839984752654168,0.41752913850467677,0.9985534548879769,0.9797101449275363
-0.1,0.0,0.6839984752654168,0.4639212650051964,0.9984525331359753,0.9826086956521739
-0.1,0.1,0.6839984752654168,0.5103133915057161,0.9984188925519747,0.9855072463768116
-0.1,0.25,0.6839984752654168,0.5799015812564955,0.9983852519679741,0.9768115942028985
-0.1,0.5,0.6839984752654168,0.6958818975077946,0.9981497678799705,0.9623188405797102
0.0,-0.5,0.7599983058504631,0.2319606325025982,0.998688017223979,0.8869565217391304
0.0,-0.25,0.7599983058504631,0.3479409487538973,0.9986207360559779,0.9768115942028985
0.0,-0.1,0.7599983058504631,0.41752913850467677,0.9985534548879769,0.9826086956521739
0.0,0.0,0.7599983058504631,0.4639212650051964,0.9985534548879769,0.9855072463768116
0.0,0.1,0.7599983058504631,0.5103133915057161,0.9984525331359753,0.9797101449275363
0.0,0.25,0.7599983058504631,0.5799015812564955,0.9984188925519747,0.9652173913043478
0.0,0.5,0.7599983058504631,0.6958818975077946,0.9983516113839737,0.9188405797101449
0.1,-0.5,0.8359981364355095,0.2319606325025982,0.998688017223979,0.8985507246376812
0.1,-0.25,0.8359981364355095,0.3479409487538973,0.9986207360559779,0.9826086956521739
0.1,-0.1,0.8359981364355095,0.41752913850467677,0.9985870954719773,0.9884057971014493
0.1,0.0,0.8359981364355095,0.4639212650051964,0.9985534548879769,0.9797101449275363
0.1,0.1,0.8359981364355095,0.5103133915057161,0.9985534548879769,0.9768115942028985
0.1,0.25,0.8359981364355095,0.5799015812564955,0.9984525331359753,0.9594202898550724
0.1,0.5,0.8359981364355095,0.6958818975077946,0.9984188925519747,0.8231884057971014
0.25,-0.5,0.9499978823130789,0.2319606325025982,0.9987216578079796,0.9507246376811594
0.25,-0.25,0.9499978823130789,0.3479409487538973,0.9986543766399785,0.9884057971014493
0.25,-0.1,0.9499978823130789,0.41752913850467677,0.9986207360559779,0.9797101449275363
0.25,0.0,0.9499978823130789,0.4639212650051964,0.9986207360559779,0.9681159420289855
0.25,0.1,0.9499978823130789,0.5103133915057161,0.9985870954719773,0.9536231884057971
0.25,0.25,0.9499978823130789,0.5799015812564955,0.9985534548879769,0.881159420289855
0.25,0.5,0.9499978823130789,0.6958818975077946,0.9984525331359753,0.6028985507246377
0.5,-0.5,0.99,0.2319606325025982,0.9987216578079796,0.9681159420289855
0.5,-0.25,0.99,0.3479409487538973,0.998688017223979,0.9884057971014493
0.5,-0.1,0.99,0.41752913850467677,0.9986207360559779,0.9768115942028985
0.5,0.0,0.99,0.4639212650051964,0.9986207360559779,0.9623188405797102
0.5,0.1,0.99,0.5103133915057161,0.9985870954719773,0.936231884057971
0.5,0.25,0.99,0.5799015812564955,0.9985534548879769,0.8231884057971014
0.5,0.5,0.99,0.6958818975077946,0.9984525331359753,0.5362318840579711
