gene_A,gene_B,K_final_A,K_final_B,discovery_sensitivity,discovery_specificity,GSE62452_sensitivity,GSE62452_specificity,tumor_spearman_r,threshold_instability_A,threshold_instability_B,mean_threshold_instability,performance_score,redundancy_penalty,threshold_instability_penalty,pair_score,redundancy_category
PKM,ADAM22,0.8047205189285296,0.6238650586831749,0.9662921348314607,0.9940119760479041,0.7101449275362319,0.9016393442622951,0.06344286966477694,0.005155450437644578,0.03308730008969059,0.019121375263667584,0.8930220956694729,0.012688573932955388,0.0019121375263667585,0.8784213842101507,weak correlation / high independence
MMP9,NQO1,0.5052459001107324,0.7274005102169699,0.9382022471910112,0.9940119760479041,0.927536231884058,0.639344262295082,0.03397824294508889,0.0779806405713783,0.03148378002405277,0.054732210297715536,0.8747736793545139,0.006795648589017778,0.005473221029771554,0.8625048097357245,weak correlation / high independence
LOXL1,NQO1,0.7782706315643453,0.7274005102169699,0.9157303370786517,0.9880239520958084,0.927536231884058,0.6557377049180327,0.03820292618157986,0.046101545049522054,0.03148378002405277,0.03879266253678741,0.8717570564941377,0.007640585236315972,0.0038792662536787413,0.860237205004143,weak correlation / high independence
PXDN,NQO1,0.7169660210736698,0.7274005102169699,0.9044943820224719,0.9880239520958084,0.927536231884058,0.639344262295082,0.027211702191642186,1.1102230246251565e-16,0.03148378002405277,0.01574189001202644,0.864849707074355,0.005442340438328437,0.001574189001202644,0.8578331776348239,weak correlation / high independence
EDIL3,NQO1,0.6311502155526197,0.7274005102169699,0.9382022471910112,0.9880239520958084,0.927536231884058,0.639344262295082,-0.06425286219039796,0.03610149953278518,0.03148378002405277,0.033792639778418974,0.87327667336649,0.012850572438079591,0.0033792639778418977,0.8570468369505684,weak correlation / high independence
ETV1,NQO1,0.6641001764469112,0.7274005102169699,0.9382022471910112,0.9880239520958084,0.927536231884058,0.639344262295082,0.07124440049310798,0.02482275843931166,0.03148378002405277,0.028153269231682217,0.87327667336649,0.014248880098621597,0.002815326923168222,0.8562124663447002,weak correlation / high independence
OLFML2B,NQO1,0.649931559240061,0.7274005102169699,0.9325842696629213,0.9880239520958084,0.927536231884058,0.639344262295082,-0.0529912929500983,0.08251690883222558,0.03148378002405277,0.05700034442813917,0.8718721789844674,0.010598258590019661,0.005700034442813917,0.855573885951634,weak correlation / high independence
SEMA3C,NQO1,0.3809856328309323,0.7274005102169699,0.9269662921348315,0.9880239520958084,0.927536231884058,0.639344262295082,0.06788999122304974,0.0,0.03148378002405277,0.015741890012026385,0.870467684602445,0.01357799824460995,0.0015741890012026386,0.8553154973566324,weak correlation / high independence
TIMP2,NQO1,0.7728301954191586,0.7274005102169699,0.9157303370786517,0.9880239520958084,0.927536231884058,0.639344262295082,-0.05632449702291983,1.1102230246251565e-16,0.03148378002405277,0.01574189001202644,0.8676586958384,0.011264899404583965,0.001574189001202644,0.8548196074326134,weak correlation / high independence
OCIAD2,EDIL3,0.796545245774221,0.6311502155526197,0.9831460674157303,1.0,0.8115942028985508,0.639344262295082,0.012073271608729879,0.00957360595802697,0.03610149953278518,0.022837552745406074,0.8585211331523408,0.002414654321745976,0.0022837552745406074,0.8538227235560543,weak correlation / high independence
PKM,TFF1,0.8047205189285296,0.5716120235084965,0.898876404494382,0.9940119760479041,0.7101449275362319,0.9016393442622951,0.11147656444082164,0.005155450437644578,0.0,0.002577725218822289,0.8761681630852033,0.02229531288816433,0.0002577725218822289,0.8536150776751568,weak correlation / high independence
OCIAD2,TIMP2,0.796545245774221,0.7728301954191586,0.9606741573033708,1.0,0.8115942028985508,0.639344262295082,-0.001045823673915796,0.00957360595802697,1.1102230246251565e-16,0.00478680297901354,0.8529031556242509,0.0002091647347831592,0.000478680297901354,0.8522153105915664,weak correlation / high independence
PTK7,NQO1,0.7956864872714363,0.7274005102169699,0.8707865168539326,0.9880239520958084,0.927536231884058,0.639344262295082,0.01753218462893968,0.0,0.03148378002405277,0.015741890012026385,0.8564227407822202,0.0035064369257879363,0.0015741890012026386,0.8513421148552297,weak correlation / high independence
OCIAD2,PXDN,0.796545245774221,0.7169660210736698,0.949438202247191,1.0,0.8115942028985508,0.639344262295082,0.003474737931783419,0.00957360595802697,1.1102230246251565e-16,0.00478680297901354,0.850094166860206,0.0006949475863566838,0.000478680297901354,0.848920538975948,weak correlation / high independence
ETV1,PKM,0.6641001764469112,0.8047205189285296,0.9775280898876404,0.9940119760479041,0.7101449275362319,0.9016393442622951,0.22858796481055058,0.02482275843931166,0.005155450437644578,0.01498910443847812,0.8958310844335179,0.045717592962110115,0.001498910443847812,0.8486145810275599,low-to-moderate correlation / partial independence
RCN1,NQO1,0.8497562945311693,0.7274005102169699,0.898876404494382,0.9880239520958084,0.927536231884058,0.639344262295082,0.056444748959494764,0.041475064871972264,0.03148378002405277,0.03647942244801251,0.8634452126923327,0.011288949791898954,0.0036479422448012517,0.8485083206556324,weak correlation / high independence
OCIAD2,OLFML2B,0.796545245774221,0.649931559240061,0.9550561797752809,1.0,0.8115942028985508,0.639344262295082,-0.01613633377432661,0.00957360595802697,0.08251690883222558,0.04604525739512627,0.8514986612422284,0.003227266754865322,0.004604525739512627,0.8436668687478505,weak correlation / high independence
OLFML2B,LGALS3BP,0.649931559240061,0.8154662208610381,0.949438202247191,0.9880239520958084,0.6376811594202898,0.819672131147541,0.0074643975579004075,0.08251690883222558,0.0022947028381113967,0.04240580583516849,0.8487038612277075,0.0014928795115800816,0.004240580583516849,0.8429704011326106,weak correlation / high independence
MMP12,PKM,0.39736509818459975,0.8047205189285296,0.9606741573033708,0.9940119760479041,0.7101449275362319,0.9016393442622951,0.2367919891290684,0.02207993458626133,0.005155450437644578,0.013617692511952955,0.8916176012874505,0.047358397825813685,0.0013617692511952956,0.8428974342104416,low-to-moderate correlation / partial independence
PKM,OLFML2B,0.8047205189285296,0.649931559240061,0.949438202247191,0.9940119760479041,0.7101449275362319,0.9016393442622951,0.20780410424838447,0.005155450437644578,0.08251690883222558,0.04383617963493508,0.8888086125234055,0.0415608208496769,0.004383617963493508,0.842864173710235,low-to-moderate correlation / partial independence
ESM1,NQO1,0.5843990790228814,0.7274005102169699,0.9213483146067416,0.9880239520958084,0.927536231884058,0.639344262295082,0.12575172341297416,0.004301294305049171,0.03148378002405277,0.01789253716455097,0.8690631902204226,0.025150344682594833,0.001789253716455097,0.8421235918213726,weak correlation / high independence
EDIL3,PKM,0.6311502155526197,0.8047205189285296,0.9775280898876404,0.9940119760479041,0.7101449275362319,0.9016393442622951,0.2595604448218726,0.03610149953278518,0.005155450437644578,0.02062847498521488,0.8958310844335179,0.05191208896437453,0.002062847498521488,0.8418561479706219,low-to-moderate correlation / partial independence
GRN,PKM,0.8150381531247665,0.8047205189285296,0.9831460674157303,0.9940119760479041,0.7101449275362319,0.9016393442622951,0.2711014720800955,0.022702682080163877,0.005155450437644578,0.013929066258904228,0.8972355788155403,0.0542202944160191,0.001392906625890423,0.8416223777736308,low-to-moderate correlation / partial independence
PKM,MMP1,0.8047205189285296,0.5367669500069564,0.9101123595505618,0.9940119760479041,0.7101449275362319,0.9016393442622951,0.18153624532953222,0.005155450437644578,0.03590630757258835,0.020530879005116465,0.8789771518492482,0.03630724906590645,0.0020530879005116465,0.8406168148828301,weak correlation / high independence
PDGFC,NQO1,0.7647194644262232,0.7274005102169699,0.898876404494382,0.9940119760479041,0.927536231884058,0.639344262295082,0.11560672732379501,0.0,0.03148378002405277,0.015741890012026385,0.8649422186803566,0.023121345464759004,0.0015741890012026386,0.840246684214395,weak correlation / high independence
ADAM22,LGALS3BP,0.6238650586831749,0.8154662208610381,0.9662921348314607,0.9880239520958084,0.6376811594202898,0.819672131147541,-0.05772002087929899,0.03308730008969059,0.0022947028381113967,0.017691001463900992,0.852917344373775,0.011544004175859799,0.0017691001463900993,0.8396042400515251,weak correlation / high independence
