gene_A,gene_B,K_final_A,K_final_B,discovery_sensitivity,discovery_specificity,GSE62452_sensitivity,GSE62452_specificity,tumor_spearman_r,threshold_instability_A,threshold_instability_B,mean_threshold_instability,performance_score,redundancy_penalty,threshold_instability_penalty,pair_score,redundancy_category
PKM,ADAM22,0.8047205189285296,0.6238650586831749,0.9662921348314607,0.9940119760479041,0.7101449275362319,0.9016393442622951,0.06344286966477694,0.005155450437644578,0.03308730008969059,0.019121375263667584,0.8930220956694729,0.012688573932955388,0.0019121375263667585,0.8784213842101507,weak correlation / high independence
NQO1,COL4A2,0.7274005102169699,0.8152668246619422,0.9157303370786517,0.9880239520958084,0.927536231884058,0.6721311475409836,0.005556808606616677,0.03148378002405277,0.0,0.015741890012026385,0.8758554171498755,0.0011113617213233354,0.0015741890012026386,0.8731698664273495,weak correlation / high independence
NQO1,COL1A1,0.7274005102169699,0.7244338681743351,0.9269662921348315,0.9880239520958084,0.927536231884058,0.6557377049180327,-0.001182004801429212,0.03148378002405277,1.1102230246251565e-16,0.01574189001202644,0.8745660452581826,0.0002364009602858424,0.001574189001202644,0.8727554552966941,weak correlation / high independence
ETV1,FXYD3,0.6641001764469112,0.7703356678777903,0.9325842696629213,1.0,0.7246376811594203,0.8524590163934426,-0.03217909475955948,0.02482275843931166,0.022521514376186044,0.023672136407748852,0.8774202418039461,0.006435818951911897,0.0023672136407748854,0.8686172092112593,weak correlation / high independence
NQO1,COL3A1,0.7274005102169699,0.7129259545708932,0.9213483146067416,0.9880239520958084,0.927536231884058,0.6557377049180327,0.01725344002230201,0.03148378002405277,0.0,0.015741890012026385,0.8731615508761602,0.003450688004460402,0.0015741890012026386,0.8681366738704972,weak correlation / high independence
POSTN,FXYD3,0.6457739596125215,0.7703356678777903,0.9157303370786517,1.0,0.7246376811594203,0.8524590163934426,-0.02046005602550831,0.006051809103109527,0.022521514376186044,0.014286661739647785,0.8732067586578787,0.004092011205101663,0.0014286661739647787,0.8676860812788123,weak correlation / high independence
MMP9,FXYD3,0.5052459001107324,0.7703356678777903,0.9325842696629213,1.0,0.7246376811594203,0.8524590163934426,0.024884950988309354,0.0779806405713783,0.022521514376186044,0.05025107747378217,0.8774202418039461,0.004976990197661871,0.0050251077473782175,0.867418143858906,weak correlation / high independence
NQO1,ELK3,0.7274005102169699,0.7756993216924829,0.9382022471910112,0.9880239520958084,0.927536231884058,0.639344262295082,-0.030409792244618917,0.03148378002405277,0.0028055905572017,0.017144685290627234,0.87327667336649,0.006081958448923784,0.0017144685290627236,0.8654802463885034,weak correlation / high independence
NQO1,CTSK,0.7274005102169699,0.7116612612210637,0.9213483146067416,0.9880239520958084,0.927536231884058,0.639344262295082,-0.013432943799950633,0.03148378002405277,0.0,0.015741890012026385,0.8690631902204226,0.0026865887599901266,0.0015741890012026386,0.8648024124592297,weak correlation / high independence
NQO1,PLEKHA2,0.7274005102169699,0.2434402352438865,0.9269662921348315,0.9880239520958084,0.927536231884058,0.639344262295082,0.025198886078804897,0.03148378002405277,0.0,0.015741890012026385,0.870467684602445,0.00503977721576098,0.0015741890012026386,0.8638537183854813,weak correlation / high independence
COL1A1,FXYD3,0.7244338681743351,0.7703356678777903,0.9213483146067416,1.0,0.7246376811594203,0.8524590163934426,-0.04853877260942051,1.1102230246251565e-16,0.022521514376186044,0.011260757188093077,0.8746112530399012,0.009707754521884103,0.0011260757188093077,0.8637774227992078,weak correlation / high independence
PKM,ASPN,0.8047205189285296,0.47020821841062554,0.9831460674157303,0.9940119760479041,0.7101449275362319,0.9016393442622951,0.0910228809957482,0.005155450437644578,0.3230302720506004,0.1640928612441225,0.8972355788155403,0.01820457619914964,0.01640928612441225,0.8626217164919784,weak correlation / high independence
MMP9,NQO1,0.5052459001107324,0.7274005102169699,0.9382022471910112,0.9940119760479041,0.927536231884058,0.639344262295082,0.03397824294508889,0.0779806405713783,0.03148378002405277,0.054732210297715536,0.8747736793545139,0.006795648589017778,0.005473221029771554,0.8625048097357245,weak correlation / high independence
SEMA3C,FXYD3,0.3809856328309323,0.7703356678777903,0.9157303370786517,1.0,0.7246376811594203,0.8524590163934426,-0.05022419330077468,0.0,0.022521514376186044,0.011260757188093022,0.8732067586578787,0.010044838660154938,0.0011260757188093023,0.8620358442789144,weak correlation / high independence
