gene,importance_elastic_net,rank_elastic_net,rank_score_elastic_net,importance_rf,rank_rf,rank_score_rf,importance_xgb,rank_xgb,rank_score_xgb,model_consensus_score,log2fc,auc,log2fc_val,auc_val,stability_score,consensus_score
MYO1E,0.0,612,0.3108108108108108,0.0,712,0.1981981981981982,0.0,627,0.2939189189189189,0.26764264264264265,3.597931147816727,0.9857027517997712,0.9547910168686142,0.8427179852696601,0.9142103664449269,0.5909265045437848
GBP4,0.0,842,0.0518018018018018,0.00011550533584431897,190,0.786036036036036,0.0,859,0.03265765765765766,0.29016516516516516,3.917404265626051,0.986947453407791,0.8328966239011626,0.792112140650986,0.8895295492695687,0.5898473572173669
EFNA5,0.0,714,0.19594594594594594,0.0,647,0.2713963963963964,0.0,611,0.3119369369369369,0.2597597597597598,4.962883008141022,0.984945838659759,1.0036847540983596,0.8538845331432644,0.9194151851230583,0.5895874724414091
DNAJC13,0.0,750,0.1554054054054054,0.0,728,0.18018018018018017,0.0,395,0.5551801801801802,0.29692192192192196,1.6900645731009898,0.961750655991388,0.5044061962461388,0.7971014492753624,0.8794258996235572,0.5881739107727396
PLEC,0.0,614,0.30855855855855857,0.0,677,0.2376126126126126,0.0,677,0.2376126126126126,0.26126126126126126,2.833289598331426,0.9724483617035592,0.7823936635780475,0.8510334996436207,0.9117409297231338,0.5865010954921975
PRC1,0.0,837,0.057432432432432436,2.251511130768086e-05,282,0.6824324324324325,0.0,804,0.0945945945945946,0.2781531531531532,2.4482746753683644,0.9726165646235618,0.6831079496317427,0.8168210976478973,0.894718807365765,0.5864359802594591
FBXO32,0.0,530,0.40315315315315314,0.0,670,0.24549549549549549,0.0,810,0.08783783783783784,0.2454954954954955,3.5568255601157244,0.9771075825876337,1.4525453456878106,0.8753860774530767,0.9262468299082394,0.5858711627018675
ITGB1,0.0,606,0.31756756756756754,0.0,698,0.21396396396396397,0.0,670,0.24549549549549549,0.259009009009009,3.259179660902914,0.9832301688757317,0.6156063316702305,0.8415300546448088,0.9123801094809836,0.5856945592449962
TBC1D2,0.0,602,0.32207207207207206,0.0,714,0.19594594594594594,0.0,666,0.25,0.25600600600600604,3.7927535692659626,0.9904124335598465,0.6551602162033747,0.8353528153955809,0.9128826202572347,0.5844443131316204
HK1,0.0,668,0.24774774774774774,0.0,681,0.23310810810810811,0.0,631,0.2894144144144144,0.25675675675675674,3.3195967200430605,0.9854672677117674,0.5666542931812772,0.8372535043953434,0.9113603825276823,0.5840585696422195
SDR16C5,0.0,611,0.3119369369369369,0.0,696,0.21621621621621623,0.0,675,0.23986486486486486,0.25600600600600604,7.407328298459262,0.961128305187378,1.1970759444048458,0.8626752197671655,0.9119017621576841,0.5839538840818451
ZNF185,0.0,528,0.40540540540540543,0.0,671,0.24436936936936937,0.0,821,0.07545045045045046,0.2417417417417418,3.3814714963331762,0.9741135706115859,0.6304616773580443,0.8781183178902353,0.9261159441670775,0.5839288429544096
CENPI,0.0,669,0.24662162162162163,0.0,682,0.23198198198198197,0.0,632,0.2882882882882883,0.25563063063063063,4.5403305927470905,0.9775112695956403,0.8494076764076977,0.8439059158945118,0.9107085908581207,0.5831696107443757
SLC6A6,0.0,605,0.3186936936936937,0.0,715,0.19481981981981983,0.0,669,0.24662162162162163,0.2533783783783784,4.1028615555406045,0.9808416874116934,1.1973531789023513,0.844143502019482,0.91249259285827,0.5829354856183242
EDNRA,0.0,671,0.24436936936936937,0.0,683,0.23085585585585586,0.0,634,0.28603603603603606,0.25375375375375375,4.7408723339837175,0.978688690035659,1.3237653670705622,0.8422428130197196,0.9104657493525325,0.5821097515531432
COL11A1,0.0,638,0.28153153153153154,0.0,678,0.23648648648648649,0.0,678,0.23648648648648649,0.2515015015015015,7.314547698984054,0.9567886698513086,1.8544359539082924,0.8662390116417202,0.9115138405171197,0.5815076710093106
BCAS1,0.0,667,0.24887387387387389,0.0,680,0.23423423423423423,0.0,653,0.26463963963963966,0.24924924924924927,6.018169185225056,0.967688219067483,1.2100414849132815,0.8550724637681159,0.9113803407060823,0.5803147949776658
DDX60,0.0,679,0.23536036036036037,0.0,676,0.23873873873873874,0.0,641,0.27815315315315314,0.25075075075075076,3.5993737098836034,0.9789241741236628,1.1346662841530035,0.8405797101449276,0.9097519396304016,0.5802513451905762
UNC5B,0.0,677,0.2376126126126126,0.0,684,0.22972972972972974,0.0,640,0.27927927927927926,0.24887387387387386,3.425378914081948,0.9846430734037542,0.526084920408648,0.8351152292706105,0.9098791470828423,0.5793765104783581
LPCAT2,0.0,637,0.28265765765765766,0.0,695,0.21734234234234234,0.0,676,0.23873873873873874,0.24624624624624625,2.94841848213685,0.9665949000874656,0.9375151556189101,0.8569731527678783,0.9117840258296374,0.5790151360379419
MICAL2,0.0,778,0.12387387387387387,0.0,645,0.27364864864864863,0.0,608,0.3153153153153153,0.2376126126126126,2.6516088239251827,0.9743322344075893,1.1337778878593472,0.8664765977666904,0.9204044158555077,0.5790085142340602
AHR,0.0,555,0.375,0.0,591,0.3344594594594595,0.0,826,0.06981981981981981,0.25975975975975973,3.8331490345152393,0.9854336271277669,0.8032858066048929,0.8104062722736992,0.8979199047257569,0.5788398322427584
S100A11,0.0,744,0.16216216216216217,0.0,637,0.28265765765765766,0.0,658,0.25900900900900903,0.2346096096096096,4.405438838054228,0.9760815447756173,0.577888301259204,0.8688524590163934,0.9224670016979729,0.5785383056537913
ENDOD1,0.0,553,0.37725225225225223,0.0,610,0.3130630630630631,0.0,813,0.08445945945945946,0.25825825825825827,3.0904478066339225,0.9788400726636614,0.5010348182466142,0.817296269897838,0.898068148306308,0.5781632032822831
FLNB,0.0,665,0.2511261261261261,0.0,690,0.22297297297297297,0.0,651,0.2668918918918919,0.24699699699699698,2.2288007905537244,0.9512043329072193,0.9558756806842466,0.8662390116417202,0.9087216720457777,0.5778593345213874
ACVR1,0.0,557,0.37274774774774777,0.0,592,0.3333333333333333,0.0,828,0.06756756756756757,0.2578828828828829,2.819571839467134,0.9826078180717217,0.5874714991684478,0.8130197196483725,0.8978137343795362,0.5778483086312095
GALE,0.0,543,0.3885135135135135,0.0,624,0.2972972972972973,0.0,814,0.08333333333333333,0.2563813813813814,3.1068713045818486,0.9711700195115388,0.6361477619387017,0.8258493703967689,0.8985096848296833,0.5774455331055324
PPEF1,0.0,558,0.3716216216216216,0.0,593,0.3322072072072072,0.0,829,0.06644144144144144,0.25675675675675674,4.225124402879634,0.9668472044674696,0.6020676835352812,0.8287004038964124,0.8977737963688465,0.5772652765628016
NCAPG2,0.0,559,0.3704954954954955,0.0,594,0.3310810810810811,0.0,830,0.06531531531531531,0.25563063063063063,2.469461764112225,0.9763674897396217,0.5653157899738659,0.8189593727726301,0.8976634115394547,0.5766470210850427
GJB2,0.0,682,0.23198198198198197,0.0,687,0.22635135135135134,0.0,646,0.2725225225225225,0.24361861861861858,6.0584751631568325,0.9525331359752406,0.8351379258731284,0.8664765977666905,0.9095048666420764,0.5765617426303475
CENPK,0.0,545,0.38626126126126126,0.0,625,0.29617117117117114,0.0,816,0.08108108108108109,0.2545045045045045,4.011076811545449,0.9783186436116531,0.8886348538845339,0.8184842005226894,0.8984014016520744,0.5764529530782895
LEF1,0.0,513,0.4222972972972973,0.0,669,0.24662162162162163,0.0,879,0.010135135135135136,0.22635135135135134,5.724171200296037,0.9882594361838122,1.2323188073176512,0.864575908766928,0.9264176722150943,0.5763845117832228
RAB31,0.0,554,0.3761261261261261,0.0,609,0.3141891891891892,0.0,824,0.07207207207207207,0.25412912912912916,4.348218206284062,0.9807071250756914,0.897613701591828,0.8153955808980755,0.8980513257947497,0.5760902274619394
LDHA,0.0,864,0.02702702702702703,7.731092436974789e-05,245,0.7240990990990991,0.0,856,0.036036036036036036,0.26238738738738737,2.968822902509589,0.9538787593352619,0.8336096056070303,0.8256117842717986,0.8897452615038736,0.5760663244456304
RASA1,0.0,560,0.36936936936936937,0.0,595,0.32995495495495497,0.0,831,0.06418918918918919,0.2545045045045045,1.858021721725089,0.9610778443113771,0.6380353789498683,0.8341648847707295,0.8976213599437005,0.5760629322241025
ADAMTS12,0.0,546,0.38513513513513514,0.0,626,0.29504504504504503,0.0,817,0.07995495495495496,0.25337837837837834,4.891548677925049,0.975072327255601,1.143878336897127,0.8215728201473034,0.8983225584600355,0.575850468419207
FRMD6,0.0,749,0.15653153153153154,0.0,719,0.19031531531531531,0.0,471,0.46959459459459457,0.2721471471471471,3.1506335127497813,0.9571755365673148,0.8949012544547399,0.8018531717747683,0.8795142557067477,0.5758307014269474
PRR5L,0.0,684,0.22972972972972974,0.0,688,0.22522522522522523,0.0,648,0.2702702702702703,0.24174174174174176,4.326172677117675,0.984188925519747,0.5995189569969108,0.8339272986457591,0.9090581073916469,0.5753999245666943
FANCI,0.0,547,0.38400900900900903,0.0,627,0.2939189189189189,0.0,818,0.07882882882882883,0.2522522522522523,2.7707615454484293,0.9823891542757182,0.662242998336898,0.8142076502732241,0.8982983715313335,0.5752753118917929
CCNB2,0.0,548,0.38288288288288286,0.0,628,0.2927927927927928,0.0,819,0.0777027027027027,0.2511261261261261,5.042210748166589,0.9871156563277937,0.8004152839154202,0.8094559277738179,0.8982857425192539,0.57470593432269
PTTG1IP,0.0,759,0.14527027027027026,0.0,686,0.22747747747747749,0.0,602,0.32207207207207206,0.23160660660660662,2.8698436688420914,0.9904965350198478,0.6899011119030654,0.8446186742694227,0.9175576028807415,0.5745821047436741
CEMIP,0.0,791,0.10923423423423423,0.0,648,0.2702702702702703,0.0,613,0.3096846846846847,0.22972972972972974,4.825729166386328,0.9843066675637488,1.3872536231884056,0.8541221192682348,0.9192143926536255,0.5744720611916776
ACSL5,0.0,686,0.22747747747747749,0.0,689,0.22409909909909909,0.0,650,0.268018018018018,0.23986486486486483,4.702043214694207,0.9755264751396084,1.4213504656688052,0.8420052268947493,0.9087658488188586,0.5743153568418617
RSAD2,0.0,549,0.38175675675675674,0.0,629,0.2916666666666667,0.0,820,0.07657657657657657,0.25,3.316116803471708,0.9594630962793516,0.920433661202186,0.8370159182703731,0.8982395037461812,0.5741197518730906
TSPAN15,0.0,751,0.15427927927927929,0.0,730,0.17792792792792791,0.0,469,0.47184684684684686,0.268018018018018,3.563311794388751,0.9801352351476822,0.6248909432169167,0.7778569731527678,0.8789952272233226,0.5735066226206703
GPD2,0.0,839,0.05518018018018018,5.7975398265779405e-05,263,0.7038288288288288,0.0,884,0.0045045045045045045,0.2545045045045045,2.190674140483079,0.9795465249276727,0.6034211926823483,0.8037538607745308,0.8916501095912857,0.5730773070478951
VSIG2,0.0,881,0.007882882882882882,5.844287843881284e-05,254,0.713963963963964,0.0,848,0.04504504504504504,0.25563063063063063,6.695888912063514,0.9642568794994282,0.5949681848420054,0.8165835115229271,0.8904201714009052,0.5730254010157679
CTTNBP2NL,0.0,871,0.019144144144144143,2.837807959154785e-05,277,0.6880630630630631,0.0,851,0.041666666666666664,0.24962462462462462,3.0338280629751733,0.9798324698916773,0.5663344214777855,0.8026847232121644,0.8912585033494982,0.5704415639870614
CCNA2,0.0,866,0.024774774774774775,2.8472171547113613e-05,276,0.6891891891891891,0.0,855,0.037162162162162164,0.25037537537537535,3.630361094664603,0.9827255601157235,0.6004362461392252,0.796863863150392,0.8897945531919874,0.5700849642836814
ZNF860,0.0,868,0.02252252252252252,5.594543778725148e-05,271,0.6948198198198198,0.0,887,0.0011261261261261261,0.23948948948948948,4.675365407387473,0.9825237166117203,0.6074531147540991,0.8004276550249466,0.8914755712622964,0.5654825303758929
APOL1,0.0,687,0.22635135135135134,0.0,666,0.25,0.0,777,0.125,0.20045045045045043,5.538457172172508,0.9944493036399111,1.427977479211215,0.8660014255167499,0.9302253643407491,0.5653379073955997
SLC6A14,0.0,656,0.26126126126126126,0.0,672,0.24324324324324326,0.0,815,0.08220720720720721,0.19557057057057056,9.35250386866716,0.9661407522034582,2.660688793062485,0.8854834877643145,0.9258121199507711,0.5606913452606708
CAST,0.0,688,0.22522522522522523,0.0,596,0.32882882882882886,0.0,834,0.060810810810810814,0.20495495495495497,2.470694116261858,0.9760983650676176,0.6318018341648841,0.8175338560228084,0.896816088091123,0.550885521523039
VCL,0.0,702,0.20945945945945946,0.0,597,0.3277027027027027,0.0,835,0.059684684684684686,0.19894894894894896,2.4556528661777564,0.9717082688555474,0.7184099120931338,0.8218104062722738,0.896759322754967,0.547854135851958
PTBP3,0.0,819,0.0777027027027027,0.0,590,0.3355855855855856,0.0,799,0.10022522522522523,0.17117117117117117,2.6590755836641327,0.9849626589517593,0.6458501520551181,0.8082679971489665,0.8966152725082436,0.5338932218397073
