search_space_top_N,evaluated_genes,evaluated_pairs,top_ranked_pair,pair_score,discovery_sensitivity,discovery_specificity,GSE62452_validation_sensitivity,GSE62452_validation_specificity,tumor_spearman_r,mean_threshold_instability,redundancy_category
20,20,190,OCIAD2 + EDIL3,0.8538227235560543,0.9831460674157303,1.0,0.8115942028985508,0.639344262295082,0.012073271608729879,0.022837552745406074,weak correlation / high independence
50,50,1225,OCIAD2 + EDIL3,0.8538227235560543,0.9831460674157303,1.0,0.8115942028985508,0.639344262295082,0.012073271608729879,0.022837552745406074,weak correlation / high independence
100,100,4950,PKM + ADAM22,0.8784213842101507,0.9662921348314607,0.9940119760479041,0.7101449275362319,0.9016393442622951,0.06344286966477694,0.019121375263667584,weak correlation / high independence
200,200,19900,PKM + ADAM22,0.8784213842101507,0.9662921348314607,0.9940119760479041,0.7101449275362319,0.9016393442622951,0.06344286966477694,0.019121375263667584,weak correlation / high independence
