gene_A,gene_B,K_final_A,K_final_B,discovery_sensitivity,discovery_specificity,GSE62452_sensitivity,GSE62452_specificity,tumor_spearman_r,threshold_instability_A,threshold_instability_B,mean_threshold_instability,performance_score,redundancy_penalty,threshold_instability_penalty,pair_score,redundancy_category
OCIAD2,EDIL3,0.796545245774221,0.6311502155526197,0.9831460674157303,1.0,0.8115942028985508,0.639344262295082,0.012073271608729879,0.00957360595802697,0.03610149953278518,0.022837552745406074,0.8585211331523408,0.002414654321745976,0.0022837552745406074,0.8538227235560543,weak correlation / high independence
OCIAD2,PXDN,0.796545245774221,0.7169660210736698,0.949438202247191,1.0,0.8115942028985508,0.639344262295082,0.003474737931783419,0.00957360595802697,1.1102230246251565e-16,0.00478680297901354,0.850094166860206,0.0006949475863566838,0.000478680297901354,0.848920538975948,weak correlation / high independence
ETV1,PKM,0.6641001764469112,0.8047205189285296,0.9775280898876404,0.9940119760479041,0.7101449275362319,0.9016393442622951,0.22858796481055058,0.02482275843931166,0.005155450437644578,0.01498910443847812,0.8958310844335179,0.045717592962110115,0.001498910443847812,0.8486145810275599,low-to-moderate correlation / partial independence
MMP12,PKM,0.39736509818459975,0.8047205189285296,0.9606741573033708,0.9940119760479041,0.7101449275362319,0.9016393442622951,0.2367919891290684,0.02207993458626133,0.005155450437644578,0.013617692511952955,0.8916176012874505,0.047358397825813685,0.0013617692511952956,0.8428974342104416,low-to-moderate correlation / partial independence
EDIL3,PKM,0.6311502155526197,0.8047205189285296,0.9775280898876404,0.9940119760479041,0.7101449275362319,0.9016393442622951,0.2595604448218726,0.03610149953278518,0.005155450437644578,0.02062847498521488,0.8958310844335179,0.05191208896437453,0.002062847498521488,0.8418561479706219,low-to-moderate correlation / partial independence
GRN,PKM,0.8150381531247665,0.8047205189285296,0.9831460674157303,0.9940119760479041,0.7101449275362319,0.9016393442622951,0.2711014720800955,0.022702682080163877,0.005155450437644578,0.013929066258904228,0.8972355788155403,0.0542202944160191,0.001392906625890423,0.8416223777736308,low-to-moderate correlation / partial independence
AGR2,PKM,0.42747807269657895,0.8047205189285296,0.9662921348314607,0.9940119760479041,0.7101449275362319,0.9016393442622951,0.2251478569125966,0.2900457034734938,0.005155450437644578,0.1476005769555692,0.8930220956694729,0.04502957138251932,0.01476005769555692,0.8332324665913967,low-to-moderate correlation / partial independence
PKM,SLC44A4,0.8047205189285296,0.7740984388681964,0.9213483146067416,1.0,0.6956521739130435,0.9180327868852459,0.26683398426902455,0.005155450437644578,0.0,0.002577725218822289,0.8837583188512578,0.05336679685380491,0.0002577725218822289,0.8301337494755707,low-to-moderate correlation / partial independence
OCIAD2,ETV1,0.796545245774221,0.6641001764469112,0.9831460674157303,1.0,0.8115942028985508,0.639344262295082,0.13406041107478056,0.00957360595802697,0.02482275843931166,0.017198182198669316,0.8585211331523408,0.026812082214956113,0.0017198182198669316,0.8299892327175178,weak correlation / high independence
PLAC8,PKM,0.6220726772459807,0.8047205189285296,0.9719101123595506,0.9940119760479041,0.7101449275362319,0.9016393442622951,0.31942659437762244,0.023424625728514163,0.005155450437644578,0.014290038083079371,0.8944265900514954,0.0638853188755245,0.0014290038083079372,0.829112267367663,low-to-moderate correlation / partial independence
EDIL3,TXN,0.6311502155526197,0.8669527154073219,0.9269662921348315,0.9940119760479041,0.5217391304347826,0.9016393442622951,-0.03147212496291387,0.03610149953278518,0.015599869785909371,0.025850684659347277,0.8360891857199533,0.0062944249925827745,0.0025850684659347277,0.8272096922614357,weak correlation / high independence
OCIAD2,LOXL1,0.796545245774221,0.7782706315643453,0.949438202247191,1.0,0.8115942028985508,0.6557377049180327,0.12507547116617554,0.00957360595802697,0.046101545049522054,0.02783757550377451,0.8541925275159437,0.02501509423323511,0.0027837575503774515,0.8263936757323311,weak correlation / high independence
PKM,PXDN,0.8047205189285296,0.7169660210736698,0.9438202247191011,0.9940119760479041,0.7101449275362319,0.9016393442622951,0.30721215583832967,0.005155450437644578,1.1102230246251565e-16,0.0025777252188223447,0.8874041181413831,0.061442431167665935,0.0002577725218822345,0.825703914451835,low-to-moderate correlation / partial independence
OCIAD2,MMP9,0.796545245774221,0.5052459001107324,0.9719101123595506,1.0,0.8115942028985508,0.639344262295082,0.1323690015866817,0.00957360595802697,0.0779806405713783,0.043777123264702636,0.8557121443882958,0.02647380031733634,0.004377712326470264,0.8248606317444892,weak correlation / high independence
ETV1,TXN,0.6641001764469112,0.8669527154073219,0.9269662921348315,0.9940119760479041,0.5217391304347826,0.9016393442622951,0.051155063720473064,0.02482275843931166,0.015599869785909371,0.020211314112610516,0.8360891857199533,0.010231012744094613,0.0020211314112610515,0.8238370415645976,weak correlation / high independence
DPCR1,PKM,0.4249694598250433,0.8047205189285296,0.8707865168539326,0.9940119760479041,0.7101449275362319,0.9016393442622951,0.226342626053826,0.0,0.005155450437644578,0.002577725218822289,0.8691456911750909,0.0452685252107652,0.0002577725218822289,0.8236193934424435,low-to-moderate correlation / partial independence
CEACAM5,PKM,0.3827813825580026,0.8047205189285296,0.9382022471910112,1.0,0.7101449275362319,0.9016393442622951,0.29654111436380803,0.09847649330690951,0.005155450437644578,0.051815971872277045,0.8874966297473845,0.05930822287276161,0.005181597187227705,0.8230068096873953,low-to-moderate correlation / partial independence
TXN,PXDN,0.8669527154073219,0.7169660210736698,0.898876404494382,0.9880239520958084,0.5217391304347826,0.9016393442622951,0.023933786312045294,0.015599869785909371,1.1102230246251565e-16,0.007799934892954741,0.827569707821817,0.004786757262409059,0.0007799934892954741,0.8220029570701125,weak correlation / high independence
MMP9,PKM,0.5052459001107324,0.8047205189285296,0.9662921348314607,1.0,0.7101449275362319,0.9016393442622951,0.3542833979951695,0.0779806405713783,0.005155450437644578,0.04156804550451144,0.8945191016574969,0.0708566795990339,0.004156804550451144,0.8195056175080119,low-to-moderate correlation / partial independence
RCN1,PKM,0.8497562945311693,0.8047205189285296,0.9438202247191011,0.9940119760479041,0.7101449275362319,0.9016393442622951,0.3339019936091356,0.041475064871972264,0.005155450437644578,0.02331525765480842,0.8874041181413831,0.06678039872182712,0.0023315257654808424,0.8182921936540752,low-to-moderate correlation / partial independence
OCIAD2,SPARC,0.796545245774221,0.8132930712086771,0.898876404494382,1.0,0.5507246376811594,0.8524590163934426,0.016055468019392956,0.00957360595802697,0.08688946638151579,0.04823153616977138,0.8255150146422461,0.003211093603878591,0.004823153616977139,0.8174807674213903,weak correlation / high independence
OCIAD2,RCN1,0.796545245774221,0.8497562945311693,0.9438202247191011,1.0,0.8115942028985508,0.639344262295082,0.15218604393847004,0.00957360595802697,0.041475064871972264,0.025524335414999617,0.8486896724781835,0.03043720878769401,0.002552433541499962,0.8157000301489896,weak correlation / high independence
SDC1,ETV1,0.8187216314358295,0.6641001764469112,0.7921348314606742,1.0,0.6376811594202898,0.9508196721311475,0.12630129786703514,0.08453034283497024,0.02482275843931166,0.05467655063714095,0.8451589157530279,0.02526025957340703,0.005467655063714095,0.8144310011159068,weak correlation / high independence
CST1,PKM,0.5436593060985359,0.8047205189285296,0.9157303370786517,1.0,0.7101449275362319,0.9016393442622951,0.2715782485468509,0.2613835538362081,0.005155450437644578,0.13326950213692634,0.8818786522192946,0.05431564970937019,0.013326950213692635,0.8142360522962317,low-to-moderate correlation / partial independence
OCIAD2,RNF145,0.796545245774221,0.5397698695819814,0.9887640449438202,1.0,0.8115942028985508,0.639344262295082,0.13432539672032506,0.00957360595802697,0.38051362907585307,0.19504361751694002,0.8599256275343632,0.026865079344065013,0.019504361751694003,0.8135561864386042,weak correlation / high independence
OCIAD2,GRN,0.796545245774221,0.8150381531247665,0.9831460674157303,1.0,0.7971014492753623,0.639344262295082,0.20336972439927828,0.00957360595802697,0.022702682080163877,0.016138144019095423,0.8548979447465437,0.04067394487985566,0.0016138144019095424,0.8126101854647785,low-to-moderate correlation / partial independence
RNF145,PKM,0.5397698695819814,0.8047205189285296,0.9831460674157303,0.9940119760479041,0.7101449275362319,0.9016393442622951,0.32751816232555303,0.38051362907585307,0.005155450437644578,0.19283453975674883,0.8972355788155403,0.06550363246511061,0.019283453975674884,0.8124484923747548,low-to-moderate correlation / partial independence
PLS1,PKM,0.759439754640533,0.8047205189285296,0.9157303370786517,1.0,0.7101449275362319,0.9016393442622951,0.34910777693004824,1.1102230246251565e-16,0.005155450437644578,0.0025777252188223447,0.8818786522192946,0.06982155538600965,0.0002577725218822345,0.8117993243114028,low-to-moderate correlation / partial independence
PKM,PSMB8,0.8047205189285296,0.5599685464333456,0.9831460674157303,0.9940119760479041,0.7101449275362319,0.9016393442622951,0.3352733745173644,0.005155450437644578,0.39461831759543303,0.1998868840165388,0.8972355788155403,0.06705467490347287,0.01998868840165388,0.8101922155104135,low-to-moderate correlation / partial independence
MMP9,TXN,0.5052459001107324,0.8669527154073219,0.9213483146067416,0.9880239520958084,0.5217391304347826,0.9016393442622951,0.10529776311993418,0.0779806405713783,0.015599869785909371,0.04679025517864383,0.833187685349907,0.021059552623986837,0.004679025517864383,0.8074491072080557,weak correlation / high independence
SDC1,EDIL3,0.8187216314358295,0.6311502155526197,0.7921348314606742,1.0,0.6376811594202898,0.9508196721311475,0.16396796561457802,0.08453034283497024,0.03610149953278518,0.06031592118387771,0.8451589157530279,0.032793593122915604,0.0060315921183877715,0.8063337305117245,weak correlation / high independence
PKM,TMEM173,0.8047205189285296,0.8261906687524584,0.949438202247191,0.9940119760479041,0.7101449275362319,0.9016393442622951,0.4087993974008834,0.005155450437644578,0.011366255750379306,0.008260853094011943,0.8888086125234055,0.08175987948017668,0.0008260853094011943,0.8062226477338276,moderate correlation
MMP12,TXN,0.39736509818459975,0.8669527154073219,0.9157303370786517,0.9940119760479041,0.5217391304347826,0.9016393442622951,0.13154928364013016,0.02207993458626133,0.015599869785909371,0.01883990218608535,0.8332801969559084,0.026309856728026035,0.0018839902186085352,0.8050863500092739,weak correlation / high independence
OCIAD2,ANKLE2,0.796545245774221,0.8693496009171224,0.9044943820224719,1.0,0.8115942028985508,0.639344262295082,0.16902899425775106,0.00957360595802697,0.004269873992884083,0.006921739975455526,0.8388582118040262,0.03380579885155021,0.0006921739975455526,0.8043602389549305,weak correlation / high independence
TXN,RNF145,0.8669527154073219,0.5397698695819814,0.9325842696629213,0.9820359281437125,0.5217391304347826,0.9016393442622951,0.052778622998100176,0.015599869785909371,0.38051362907585307,0.19805674943088122,0.8344996681259279,0.010555724599620037,0.019805674943088124,0.8041382685832197,weak correlation / high independence
MMP12,SDC1,0.39736509818459975,0.8187216314358295,0.7921348314606742,1.0,0.6376811594202898,0.9508196721311475,0.18335883190815774,0.02207993458626133,0.08453034283497024,0.05330513871061578,0.8451589157530279,0.03667176638163155,0.005330513871061579,0.8031566355003349,weak correlation / high independence
LOXL1,PKM,0.7782706315643453,0.8047205189285296,0.9438202247191011,0.9940119760479041,0.7101449275362319,0.9016393442622951,0.41105679846930343,0.046101545049522054,0.005155450437644578,0.025628497743583317,0.8874041181413831,0.08221135969386069,0.0025628497743583317,0.8026299086731641,moderate correlation
LMNB1,PKM,0.7753667598130912,0.8047205189285296,0.949438202247191,1.0,0.7101449275362319,0.9016393442622951,0.43002936931922847,0.030689039486403287,0.005155450437644578,0.017922244962023933,0.8903056185114294,0.0860058738638457,0.0017922244962023934,0.8025075201513813,moderate correlation
CLDN12,PKM,0.805650131495029,0.8047205189285296,0.8820224719101124,0.9940119760479041,0.7101449275362319,0.9016393442622951,0.34728460150996343,0.0,0.005155450437644578,0.002577725218822289,0.8719546799391359,0.06945692030199269,0.0002577725218822289,0.802239987115261,low-to-moderate correlation / partial independence
TXN,LOXL1,0.8669527154073219,0.7782706315643453,0.9044943820224719,0.9940119760479041,0.5217391304347826,0.9180327868852459,0.14663250802189104,0.015599869785909371,0.046101545049522054,0.030850707417715714,0.8345695688476011,0.02932650160437821,0.0030850707417715718,0.8021579965014514,weak correlation / high independence
SLC16A1,PKM,0.6917994825403561,0.8047205189285296,0.949438202247191,0.9940119760479041,0.7101449275362319,0.9016393442622951,0.4023984854149105,0.12354264919498564,0.005155450437644578,0.0643490498163151,0.8888086125234055,0.08047969708298211,0.00643490498163151,0.8018940104587919,moderate correlation
MISP,PKM,0.4408376629769242,0.8047205189285296,0.9775280898876404,0.9940119760479041,0.7101449275362319,0.9016393442622951,0.4055382936043049,0.29398990912350004,0.005155450437644578,0.14957267978057232,0.8958310844335179,0.08110765872086098,0.014957267978057232,0.7997661577345997,moderate correlation
OCIAD2,MMP12,0.796545245774221,0.39736509818459975,0.9662921348314607,1.0,0.8115942028985508,0.639344262295082,0.26501560768543336,0.00957360595802697,0.02207993458626133,0.01582677027214415,0.8543076500062734,0.053003121537086674,0.0015826770272144152,0.7997218514419724,low-to-moderate correlation / partial independence
SPARC,TXN,0.8132930712086771,0.8669527154073219,0.8707865168539326,1.0,0.4057971014492754,0.9508196721311475,0.012664793119903997,0.08688946638151579,0.015599869785909371,0.05124466808371258,0.8068508226085889,0.0025329586239807994,0.005124466808371258,0.7991933971762367,weak correlation / high independence
CCNB1,TIMP1,0.7228724824339547,0.8127320901664025,0.9719101123595506,1.0,0.43478260869565216,0.8032786885245902,-0.009525207808696918,0.04176615865950621,0.0,0.020883079329753106,0.8024928523949482,0.0019050415617393836,0.0020883079329753105,0.7984995029002334,weak correlation / high independence
PTPRR,PKM,0.5441886518479988,0.8047205189285296,0.9606741573033708,0.9940119760479041,0.7101449275362319,0.9016393442622951,0.4673760163206975,0.02621672664746668,0.005155450437644578,0.01568608854255563,0.8916176012874505,0.0934752032641395,0.001568608854255563,0.7965737891690554,moderate correlation
OCIAD2,MMP13,0.796545245774221,0.25482009823610646,0.9550561797752809,1.0,0.8115942028985508,0.639344262295082,0.2717564214307584,0.00957360595802697,0.013220534326951576,0.011397070142489273,0.8514986612422284,0.054351284286151685,0.0011397070142489273,0.7960076699418278,low-to-moderate correlation / partial independence
TIMP1,KIF4A,0.8127320901664025,0.5311408971518579,0.9775280898876404,0.9940119760479041,0.43478260869565216,0.8032786885245902,-0.021324291373703737,0.0,0.044956748123976195,0.022478374061988098,0.8024003407889468,0.004264858274740747,0.0022478374061988098,0.7958876451080072,weak correlation / high independence
CAPN9,PKM,0.6169507151469692,0.8047205189285296,0.6910112359550562,1.0,0.7101449275362319,0.9016393442622951,0.09973705251234748,0.2016655848611086,0.005155450437644578,0.10341051764937659,0.8256988769383958,0.019947410502469495,0.010341051764937659,0.7954104146709886,weak correlation / high independence
ANKLE2,TXN,0.8693496009171224,0.8669527154073219,0.8707865168539326,0.9820359281437125,0.5217391304347826,0.9016393442622951,0.11587389233425749,0.004269873992884083,0.015599869785909371,0.009934871889396728,0.8190502299236807,0.0231747784668515,0.0009934871889396729,0.7948819642678896,weak correlation / high independence
OCIAD2,TMEM173,0.796545245774221,0.8261906687524584,0.9550561797752809,1.0,0.8115942028985508,0.6557377049180327,0.3002081010462075,0.00957360595802697,0.011366255750379306,0.010469930854203138,0.855597021897966,0.0600416202092415,0.0010469930854203138,0.7945084086033042,low-to-moderate correlation / partial independence
DNTTIP1,SPARC,0.767087675236294,0.8132930712086771,0.8932584269662921,1.0,0.6666666666666666,0.6557377049180327,0.025641325718580188,0.013590724254201294,0.08688946638151579,0.050240095317858544,0.8039156996377478,0.005128265143716038,0.005024009531785854,0.793763424962246,weak correlation / high independence
PLAC8,SPARC,0.6220726772459807,0.8132930712086771,0.8932584269662921,1.0,0.6666666666666666,0.6557377049180327,0.030617238767242056,0.023424625728514163,0.08688946638151579,0.05515704605501498,0.8039156996377478,0.006123447753448412,0.0055157046055014985,0.7922765472787978,weak correlation / high independence
ANKLE2,PKM,0.8693496009171224,0.8047205189285296,0.9044943820224719,0.9940119760479041,0.7101449275362319,0.9016393442622951,0.42505937958034934,0.004269873992884083,0.005155450437644578,0.00471266221526433,0.8775726574672257,0.08501187591606987,0.000471266221526433,0.7920895153296295,moderate correlation
PKM,CALM2,0.8047205189285296,0.7074816803992271,0.9831460674157303,0.9940119760479041,0.7101449275362319,0.9016393442622951,0.46517368076408133,0.005155450437644578,0.24465110344867963,0.1249032769431621,0.8972355788155403,0.09303473615281627,0.012490327694316211,0.7917105149684078,moderate correlation
CEACAM5,TIMP1,0.3827813825580026,0.8127320901664025,0.949438202247191,1.0,0.43478260869565216,0.8032786885245902,0.002657654614486538,0.09847649330690951,0.0,0.049238246653454755,0.7968748748668584,0.0005315309228973076,0.004923824665345476,0.7914195192786156,weak correlation / high independence
LMNB1,TIMP1,0.7753667598130912,0.8127320901664025,0.9438202247191011,1.0,0.43478260869565216,0.8032786885245902,0.012858991026982297,0.030689039486403287,0.0,0.015344519743201643,0.795470380484836,0.0025717982053964595,0.0015344519743201645,0.7913641303051194,weak correlation / high independence
PLAC8,TIMP1,0.6220726772459807,0.8127320901664025,0.9719101123595506,0.9880239520958084,0.43478260869565216,0.8032786885245902,0.03504525615008036,0.023424625728514163,0.0,0.011712312864257082,0.7994988404189003,0.007009051230016073,0.0011712312864257082,0.7913185579024585,weak correlation / high independence
SPARC,PKM,0.8132930712086771,0.8047205189285296,0.8932584269662921,1.0,0.5652173913043478,0.9344262295081968,0.2686277367758629,0.08688946638151579,0.005155450437644578,0.046022458409580184,0.8482255119447091,0.05372554735517258,0.004602245840958019,0.7898977187485785,low-to-moderate correlation / partial independence
DNTTIP1,PKM,0.767087675236294,0.8047205189285296,0.9775280898876404,0.9940119760479041,0.7101449275362319,0.9016393442622951,0.5261583866001225,0.013590724254201294,0.005155450437644578,0.009373087345922937,0.8958310844335179,0.1052316773200245,0.0009373087345922937,0.7896620983789011,moderate correlation
CEACAM5,SPARC,0.3827813825580026,0.8132930712086771,0.8820224719101124,1.0,0.6666666666666666,0.6557377049180327,-0.012516929506255948,0.09847649330690951,0.08688946638151579,0.09268297984421264,0.8011067108737029,0.00250338590125119,0.009268297984421265,0.7893350269880304,weak correlation / high independence
GRN,SDC1,0.8150381531247665,0.8187216314358295,0.797752808988764,1.0,0.6376811594202898,0.9508196721311475,0.2597037966186093,0.022702682080163877,0.08453034283497024,0.05361651245756706,0.8465634101350503,0.051940759323721865,0.005361651245756706,0.7892609995655717,low-to-moderate correlation / partial independence
PKM,IDO1,0.8047205189285296,0.6342956048342389,0.6404494382022472,1.0,0.7101449275362319,0.9016393442622951,0.07318460153000411,0.005155450437644578,0.18228862782295413,0.09372203913029935,0.8130584275001935,0.014636920306000823,0.009372203913029935,0.7890493032811627,weak correlation / high independence
CCNB1,SPARC,0.7228724824339547,0.8132930712086771,0.8932584269662921,1.0,0.6666666666666666,0.6557377049180327,0.042593710685186865,0.04176615865950621,0.08688946638151579,0.06432781252051101,0.8039156996377478,0.008518742137037374,0.006432781252051101,0.7889641762486592,weak correlation / high independence
GRN,TXN,0.8150381531247665,0.8669527154073219,0.9325842696629213,0.9940119760479041,0.5072463768115942,0.9016393442622951,0.220326982492276,0.022702682080163877,0.015599869785909371,0.019151275933036623,0.8338704916961787,0.0440653964984552,0.0019151275933036623,0.7878899676044198,low-to-moderate correlation / partial independence
PTPRR,TIMP1,0.5441886518479988,0.8127320901664025,0.9606741573033708,0.9880239520958084,0.43478260869565216,0.8032786885245902,0.038570774262389876,0.02621672664746668,0.0,0.01310836332373334,0.7966898516548555,0.007714154852477975,0.001310836332373334,0.7876648604700042,weak correlation / high independence
PKM,MMP13,0.8047205189285296,0.25482009823610646,0.949438202247191,1.0,0.7101449275362319,0.9016393442622951,0.5095158921643804,0.005155450437644578,0.013220534326951576,0.009187992382298078,0.8903056185114294,0.1019031784328761,0.0009187992382298078,0.7874836408403235,moderate correlation
CCNB1,PKM,0.7228724824339547,0.8047205189285296,0.9775280898876404,1.0,0.7101449275362319,0.9016393442622951,0.5397352455382421,0.04176615865950621,0.005155450437644578,0.023460804548575395,0.8973280904215418,0.10794704910764844,0.0023460804548575396,0.7870349608590359,moderate correlation
SDC1,RNF145,0.8187216314358295,0.5397698695819814,0.797752808988764,1.0,0.6376811594202898,0.9508196721311475,0.18971908973800694,0.08453034283497024,0.38051362907585307,0.23252198595541165,0.8465634101350503,0.03794381794760139,0.023252198595541167,0.7853673935919078,weak correlation / high independence
SPARC,SLC44A4,0.8132930712086771,0.7740984388681964,0.848314606741573,1.0,0.6376811594202898,0.6885245901639344,-0.022238913790296928,0.08688946638151579,0.0,0.043444733190757895,0.7936300890814493,0.004447782758059386,0.00434447331907579,0.7848378330043141,weak correlation / high independence
ETV1,TIMP1,0.6641001764469112,0.8127320901664025,0.9719101123595506,0.9820359281437125,0.43478260869565216,0.8032786885245902,0.0597536083939239,0.02482275843931166,0.0,0.01241137921965583,0.7980018344308764,0.011950721678784781,0.001241137921965583,0.784809974830126,weak correlation / high independence
PKM,PYGB,0.8047205189285296,0.7834014339198262,0.949438202247191,1.0,0.7101449275362319,0.9016393442622951,0.5245973496920986,0.005155450437644578,0.017308592920477872,0.011232021679061226,0.8903056185114294,0.10491946993841972,0.0011232021679061226,0.7842629464051036,moderate correlation
SLC44A4,TIMP1,0.7740984388681964,0.8127320901664025,0.9101123595505618,1.0,0.42028985507246375,0.819672131147541,0.023759254028368284,0.0,0.0,0.0,0.7875185864426416,0.004751850805673657,0.0,0.782766735636968,weak correlation / high independence
