pair,discovery_AUC,discovery_sensitivity,discovery_specificity,GSE62452_sensitivity,GSE62452_specificity,final_external_sensitivity,final_external_specificity,correlation,functional_annotation,engineering_feasibility,interpretation
UBE2S + CCR6 (v1),0.998,0.933,0.994,0.043,0.984,0.0,1.0,0.714,UBE2S (mitosis/cell-cycle) + CCR6 (chemokine/stroma),High: both protein coding,"Strong discovery, validation sensitivity collapses due to cohort/platform differences"
CEACAM5 + CST1 (v2),0.999,0.9213483146067416,1.0,0.5942028985507246,0.9344262295081968,0.6444444444444445,0.9333333333333333,0.3550162459599892,Model-consensus prioritized and cross-dataset-stable candidate pair,High: both protein coding,Optimized for cross-dataset sensitivity retention
