gene,mean_pdac,mean_normal,log2fc,p_value,auc,specificity_score,fdr
CTNNBL1,5.57355786516854,2.937390419161677,2.6361674460068625,4.515085573497161e-54,0.9943652021799096,1.0,8.981264108014846e-53
UBE2MP1,0.7269741573033708,-5.516437724550899,6.24341188185427,9.103571869925933e-56,0.9943483818879095,1.0,1.958488225163904e-54
ASPHD2,2.3805134831460673,-2.404491616766467,4.785005099912534,2.006845062998403e-124,0.9942811007199085,1.0,5.3625705993863146e-121
UQCRH,7.966171348314607,5.877376646706587,2.0887947016080197,5.727574309066203e-33,0.9942811007199085,0.9940119760479041,4.323244821535978e-32
PRR11,1.5086539325842696,-3.2125646706586823,4.721218603242952,7.359803582951404e-118,0.9942811007199085,0.9940119760479041,1.0265348897449434e-114
ADO,3.217156179775281,0.7987407185628743,2.4184154612124065,3.366447868059992e-59,0.9942811007199085,1.0,8.537224353195775e-58
MARCKSL1,7.25885,2.9135047904191618,4.345345209580838,1.8089809364793383e-85,0.9942474601359079,0.9940119760479041,1.7961341057609514e-83
CCL18,4.413163483146067,-5.470628143712575,9.883791626858642,4.765116114965957e-97,0.9942474601359079,0.9940119760479041,1.0613888484061625e-94
FUCA1,5.498453370786517,2.6577874251497007,2.840665945636816,3.2163358572253963e-60,0.9942474601359079,1.0,8.583880221053347e-59
UBE2C,4.6162359550561805,-2.6122233532934134,7.228459308349594,4.814346602698338e-81,0.9942306398439077,0.9940119760479041,3.662717380943784e-79
TMSB10,11.96941853932584,7.84444371257485,4.12497482675099,1.0692418866526573e-61,0.9942138195519074,1.0,3.0510111525572e-60
NQO1,7.517013483146067,1.468143113772455,6.048870369373612,3.054809560116648e-120,0.9942138195519074,1.0,5.422842389127072e-117
SEC14L2,4.235382584269663,0.4899239520958083,3.7454586321738548,2.3605918103714335e-89,0.9941969992599071,1.0,2.9548254026360887e-87
TOP2A,3.5189061797752803,-2.644497005988024,6.163403185763304,2.9171841124386176e-100,0.994180178967907,0.9880239520958084,7.663298766402091e-98
ASF1B,2.6844471910112357,-2.401585628742515,5.0860328197537505,1.1026318514676824e-101,0.9941801789679068,0.9880239520958084,3.3295503345787784e-99
