gene_A,gene_B,K_A,K_B,disc_sens,disc_spec,val_sens,val_spec,ext_sens,ext_spec,tumor_correlation,pair_score
CEACAM5,CST1,0.40677820318024827,0.3606846833167901,0.9213483146067416,1.0,0.5942028985507246,0.9344262295081968,0.6444444444444445,0.9333333333333333,0.3550162459599892,0.6619272555316948
MMP12,CEACAM5,0.37763499838454734,0.40677820318024827,0.9269662921348315,1.0,0.4927536231884058,0.9508196721311475,0.6222222222222222,0.9555555555555556,0.19500808579729492,0.6534027677727756
MMP12,TSPAN1,0.37763499838454734,0.69298776371519,0.9213483146067416,0.9940119760479041,0.43478260869565216,0.9836065573770492,0.5777777777777777,1.0,0.14514395875804942,0.641448620166767
MMP12,CTTN,0.37763499838454734,0.538647950435518,0.848314606741573,0.9880239520958084,0.6086956521739131,0.819672131147541,0.6888888888888889,0.8222222222222222,0.14413110875557433,0.6296317128206108
MMP12,CST1,0.37763499838454734,0.3606846833167901,0.9662921348314607,1.0,0.4782608695652174,0.8852459016393442,0.5777777777777777,0.8666666666666667,0.2993666489053155,0.6209610780288467
CST1,TSPAN1,0.3606846833167901,0.69298776371519,0.9269662921348315,1.0,0.43478260869565216,0.9836065573770492,0.5555555555555556,1.0,0.35921474836390777,0.6034505626243025
CST1,CTTN,0.3606846833167901,0.538647950435518,0.8426966292134831,0.9820359281437125,0.6086956521739131,0.8524590163934426,0.6222222222222222,0.8444444444444444,0.32403439412398866,0.6008360718615589
CEACAM5,CTTN,0.40677820318024827,0.538647950435518,0.8314606741573034,0.9940119760479041,0.6086956521739131,0.9016393442622951,0.6888888888888889,0.8888888888888888,0.4797468314039503,0.5865591940849241
CEACAM5,MMP9,0.40677820318024827,0.5242941773154414,0.9213483146067416,1.0,0.18840579710144928,1.0,0.2222222222222222,1.0,0.11995337918473532,0.5308863800171484
CTTN,TSPAN1,0.538647950435518,0.69298776371519,0.8370786516853933,0.9880239520958084,0.4782608695652174,0.9836065573770492,0.6222222222222222,0.9777777777777777,0.5984952054889252,0.5286418415054964
MISP,MMP12,0.6499979430526112,0.37763499838454734,0.9662921348314607,0.9940119760479041,0.14492753623188406,1.0,0.17777777777777778,1.0,0.13490488301739242,0.526965356426602
CEACAM5,TSPAN1,0.40677820318024827,0.69298776371519,0.898876404494382,0.9820359281437125,0.42028985507246375,0.9836065573770492,0.6,0.9777777777777777,0.6357036237934994,0.5211115865588254
CST1,RCN1,0.3606846833167901,0.8391026610009126,0.9325842696629213,1.0,0.11594202898550725,1.0,0.1111111111111111,0.9777777777777777,-0.018526960856026092,0.520557757153009
MMP9,TSPAN1,0.5242941773154414,0.69298776371519,0.9213483146067416,1.0,0.14492753623188406,1.0,0.24444444444444444,1.0,0.10687123607211042,0.5117636782048908
MISP,MMP9,0.6499979430526112,0.5242941773154414,0.9606741573033708,1.0,0.057971014492753624,1.0,0.08888888888888889,1.0,0.04119584009383433,0.5010834178792953
MMP9,CST1,0.5242941773154414,0.3606846833167901,0.949438202247191,0.9940119760479041,0.17391304347826086,1.0,0.2222222222222222,1.0,0.30819283889400123,0.4983553915424206
MMP12,RCN1,0.37763499838454734,0.8391026610009126,0.9325842696629213,0.9880239520958084,0.10144927536231885,1.0,0.13333333333333333,1.0,-0.09248325525278289,0.4954242126446226
RCN1,TSPAN1,0.8391026610009126,0.69298776371519,0.9213483146067416,0.9940119760479041,0.10144927536231885,1.0,0.1111111111111111,1.0,0.08039547689000887,0.4937885654898083
CEACAM5,GRN,0.40677820318024827,0.8306098746530998,0.9157303370786517,1.0,0.10144927536231885,0.9836065573770492,0.08888888888888889,0.9777777777777777,0.1096798526269142,0.48248506679165576
MMP12,MMP9,0.37763499838454734,0.5242941773154414,0.949438202247191,0.9940119760479041,0.17391304347826086,1.0,0.24444444444444444,1.0,0.39185525128248205,0.48162290906472444
MISP,CST1,0.6499979430526112,0.3606846833167901,0.9719101123595506,1.0,0.13043478260869565,1.0,0.17777777777777778,1.0,0.36607397911014267,0.47795765166209453
MMP9,CTTN,0.5242941773154414,0.538647950435518,0.848314606741573,0.9820359281437125,0.18840579710144928,0.9836065573770492,0.24444444444444444,1.0,0.18547746603449813,0.4723599246431218
CEACAM5,COLGALT1,0.40677820318024827,0.8541952185168267,0.8820224719101124,1.0,0.11594202898550725,1.0,0.06666666666666667,1.0,0.1483498975719671,0.4693122709334164
CEACAM5,RCN1,0.40677820318024827,0.8391026610009126,0.8932584269662921,1.0,0.07246376811594203,0.9836065573770492,0.1111111111111111,0.9777777777777777,-0.05024967377774767,0.46885328493686984
MMP12,TXN,0.37763499838454734,0.8228848534305958,0.9662921348314607,0.9880239520958084,0.028985507246376812,0.9836065573770492,0.28888888888888886,0.9777777777777777,0.13154928364013016,0.4642700844011917
CST1,FBXL2,0.3606846833167901,0.7510725925338305,0.8539325842696629,0.9820359281437125,0.10144927536231885,1.0,0.2,0.9777777777777777,0.04894073713580343,0.4636121452946746
RCN1,CTTN,0.8391026610009126,0.538647950435518,0.8370786516853933,0.9880239520958084,0.15942028985507245,0.9672131147540983,0.15555555555555556,0.9555555555555556,0.11788024301850161,0.4635218682904539
MISP,GRN,0.6499979430526112,0.8306098746530998,0.9719101123595506,0.9940119760479041,0.028985507246376812,1.0,0.022222222222222223,1.0,0.18521737835238442,0.46190598739654976
FBXL2,TSPAN1,0.7510725925338305,0.69298776371519,0.8426966292134831,0.9940119760479041,0.10144927536231885,1.0,0.2,1.0,0.044030179052559626,0.4618535244046708
CST1,GRN,0.3606846833167901,0.8306098746530998,0.9550561797752809,1.0,0.07246376811594203,0.9836065573770492,0.06666666666666667,0.9777777777777777,0.24228358038256378,0.4610921105416757
GRN,LMNB1,0.8306098746530998,0.7437815024738708,0.9550561797752809,1.0,0.0,0.9836065573770492,0.0,1.0,-0.06656694250413506,0.4603005367156032
GRN,TSPAN1,0.8306098746530998,0.69298776371519,0.9382022471910112,0.9940119760479041,0.057971014492753624,1.0,0.044444444444444446,1.0,0.18309477795388093,0.4599763979132563
MMP12,FBXL2,0.37763499838454734,0.7510725925338305,0.848314606741573,0.9880239520958084,0.08695652173913043,1.0,0.2222222222222222,1.0,-0.025603338168901865,0.45971468364704826
MMP12,CLDN12,0.37763499838454734,0.798690661316936,0.8707865168539326,0.9940119760479041,0.10144927536231885,0.9836065573770492,0.24444444444444444,1.0,0.11194256529543846,0.4582893673274
MISP,RCN1,0.6499979430526112,0.8391026610009126,0.949438202247191,0.9940119760479041,0.0,1.0,0.0,1.0,-0.0786549608055085,0.4575667942884711
MMP9,TXN,0.5242941773154414,0.8228848534305958,0.9606741573033708,0.9820359281437125,0.0,1.0,0.08888888888888889,1.0,0.10529776311993418,0.4549631211296295
MMP9,RCN1,0.5242941773154414,0.8391026610009126,0.9325842696629213,0.9940119760479041,0.028985507246376812,0.9836065573770492,0.044444444444444446,1.0,0.12123839668120376,0.4511568736630407
