Dataset,ROC_AUC,Sensitivity,Specificity
TCGA + GTEx Discovery,0.9844916907757517,0.9213483146067416,1.0
GSE62452 Same-Cohort Validation,0.8731290092658589,0.5942028985507246,0.9344262295081968
GSE28735 External Validation,0.8962962962962964,0.6444444444444445,0.9333333333333333
