cooperativity_n,leakiness_P_basal,ROC_AUC_discovery,ROC_AUC_validation,ROC_AUC_external
1,0.0,0.9848953777837581,0.8733665953908292,0.8958024691358024
1,0.01,0.9848953777837581,0.8733665953908292,0.8958024691358024
1,0.05,0.9848953777837581,0.8733665953908292,0.8958024691358024
1,0.1,0.9848953777837581,0.8733665953908292,0.8958024691358024
2,0.0,0.9844916907757517,0.8731290092658589,0.8962962962962964
2,0.01,0.9844916907757517,0.8731290092658589,0.8962962962962964
2,0.05,0.9844916907757517,0.8731290092658589,0.8962962962962964
2,0.1,0.9844916907757517,0.8731290092658589,0.8962962962962964
4,0.0,0.9841889255197469,0.8724162508909481,0.8948148148148148
4,0.01,0.9841889255197469,0.8724162508909481,0.8948148148148148
4,0.05,0.9841889255197469,0.8724162508909481,0.8948148148148148
4,0.1,0.9841889255197469,0.8724162508909481,0.8948148148148148
8,0.0,0.9836170355917377,0.8728914231408886,0.8928395061728396
8,0.01,0.9836170355917377,0.8725350439534332,0.8920987654320989
8,0.05,0.9836170355917377,0.8725350439534332,0.8920987654320989
8,0.1,0.9836170355917377,0.8725350439534332,0.8920987654320989
