gene,log2fc,fdr,auc,log2fc_val,fdr_val,auc_val,direction_consistent,protein_coding_status,stability_score
PTTG1IP,2.8698436688420914,7.898934130616999e-51,0.9904965350198478,0.6899011119030654,1.3240390067330579e-09,0.8446186742694227,True,Protein Coding,0.9175576034297531
CTHRC1,6.700609399179171,3.150396543744789e-116,0.9911020655318576,0.9325141886433839,8.892917444899363e-11,0.8436683297695414,True,Protein Coding,0.9173851975691172
S100A16,4.610167886698512,2.371092697026115e-86,0.9810939917916974,1.003682416250892,1.209092651392579e-11,0.8536469470182941,True,Protein Coding,0.917370469393904
PALLD,4.025539117271075,2.3697407275331425e-77,0.9799502119356792,0.9990563934426238,4.180492361422119e-11,0.8545972915181753,True,Protein Coding,0.9172737516885807
ANLN,5.4294164401534015,4.2307752106420654e-103,0.9854672677117675,1.4650795414587785,8.560074689526431e-11,0.8488952245188881,True,Protein Coding,0.9171812460368164
CTNNA1,2.3181202348112757,6.808861330044456e-38,0.977006660835632,0.5959443810881462,4.2451159533688456e-11,0.8569731527678783,True,Protein Coding,0.9169899067628279
ESM1,5.733758171297854,6.201093397791113e-86,0.987687546255803,0.7855014350201945,2.662728224760691e-11,0.8455690187693039,True,Protein Coding,0.9166282824881462
HOXB5,4.148390102940187,1.7302572273855178e-94,0.9780663392316491,0.8431782181040615,1.614845300028682e-11,0.8545972915181753,True,Protein Coding,0.916331815360115
PCDH7,5.858164986880173,1.2118027609641797e-114,0.9875025230438,0.940491952957947,2.8100751397918335e-11,0.8450938465193631,True,Protein Coding,0.916298184755833
TPX2,6.654686059341989,1.269376310839221e-109,0.9954080602839265,0.9746665645046342,2.314199703769534e-09,0.8371347113328582,True,Protein Coding,0.9162713836879575
LY6E,4.299814566372873,1.476963976444302e-73,0.9802193366076835,0.8835633951057247,1.7151151739529216e-11,0.8522214302684723,True,Protein Coding,0.9162203834223637
HEPH,4.833707538854874,1.4689689992706904e-105,0.9864764852317837,1.0680199215965782,6.717375358471917e-10,0.8450938465193633,True,Protein Coding,0.9157851652604062
LMO7,2.8534591805153746,1.6813332656483751e-53,0.9778308551436453,1.1695831907816565,2.4496310315711606e-11,0.853646947018294,True,Protein Coding,0.9157389010585375
MYOF,4.0181080367355175,5.95619478674221e-84,0.9699084976115185,1.3879785174625798,2.4496310315711606e-11,0.8614872891423141,True,Protein Coding,0.9156978933544851
CEACAM5,10.462945828567584,4.286127726076446e-87,0.9664771580434636,2.794674587788072,1.0007562520130712e-12,0.8648134948918983,True,Protein Coding,0.9156453264667646
MMP11,8.61005157437933,2.4505236000310744e-129,0.9939278745879029,1.2317834426229517,9.75877758249489e-11,0.837015918270373,True,Protein Coding,0.9154718963397991
MALL,5.500075048778847,1.5208902427190515e-109,0.9932046020318912,0.9815872677595623,2.8016823478176093e-10,0.8377286766452839,True,Protein Coding,0.9154666390821029
ITGA3,3.74167134158649,1.1720336295334624e-70,0.9861737199757789,1.4295748538845352,1.553036872701053e-11,0.8446186742694226,True,Protein Coding,0.9153961971083844
ANXA2P2,4.624608635537913,7.738199889457736e-104,0.9851981430397632,0.7397769137562378,3.0467280065663624e-10,0.8455690187693039,True,Protein Coding,0.9153835806256411
LPCAT4,2.9989557222633385,2.4261983329700575e-54,0.9763506694476215,0.5654173152767861,6.572548919853481e-11,0.8543597053932049,True,Protein Coding,0.915355187360251
TNS4,8.196787764919598,1.1360651932515689e-89,0.961498351611384,1.3065741862675218,1.4538517974842924e-11,0.8688524590163934,True,Protein Coding,0.9151754053005835
ITGA11,4.820473090896859,9.15350525966886e-87,0.9742817735315885,1.0946880304110245,4.269427877592066e-12,0.8557852221430268,True,Protein Coding,0.9150334978334008
SEMA7A,5.637596400457513,9.090090131139021e-107,0.9829778644957275,0.8801817486338788,1.3314306945266632e-11,0.8469945355191257,True,Protein Coding,0.9149861999952442
AP1S3,3.698219444257552,1.0673332206135164e-82,0.9732052748435712,0.8418990639106658,1.1182030235387351e-12,0.8567355666429081,True,Protein Coding,0.9149704207422165
EGLN3,4.154983832335329,3.1283136400803915e-72,0.9774608087196395,1.3873387835590405,7.204661822326555e-12,0.8524590163934427,True,Protein Coding,0.9149599125499491
