gene,cell_type,mean_expression,percent_expressing_fraction,n_cells,is_target_compartment,is_off_target_compartment,source_h5ad,annotation_version
RNF149,B cells,3.925849437713623,0.8095238095238095,21,0,1,GSE154778,v4_unbiased_metadata
GRAMD3,B cells,1.5934911966323853,0.3333333333333333,21,0,1,GSE154778,v4_unbiased_metadata
FAM91A1,B cells,2.0289266109466553,0.42857142857142855,21,0,1,GSE154778,v4_unbiased_metadata
MMP1,B cells,1.8553476333618164,0.38095238095238093,21,0,1,GSE154778,v4_unbiased_metadata
AMIGO2,B cells,0.9128507971763611,0.19047619047619047,21,0,1,GSE154778,v4_unbiased_metadata
IL18,B cells,3.4516427516937256,0.7142857142857143,21,0,1,GSE154778,v4_unbiased_metadata
GPX2,B cells,3.692537546157837,0.7619047619047619,21,0,1,GSE154778,v4_unbiased_metadata
CLDN4,B cells,1.8573640584945679,0.38095238095238093,21,0,1,GSE154778,v4_unbiased_metadata
FAR2,B cells,0.45790335536003113,0.09523809523809523,21,0,1,GSE154778,v4_unbiased_metadata
MXRA5,B cells,1.1556100845336914,0.23809523809523808,21,0,1,GSE154778,v4_unbiased_metadata
TINAGL1,B cells,2.506035327911377,0.5238095238095238,21,0,1,GSE154778,v4_unbiased_metadata
UBA6,B cells,1.6126905679702759,0.3333333333333333,21,0,1,GSE154778,v4_unbiased_metadata
OLFML2B,B cells,0.0,0.0,21,0,1,GSE154778,v4_unbiased_metadata
ADAM22,B cells,0.0,0.0,21,0,1,GSE154778,v4_unbiased_metadata
NCEH1,B cells,2.244133472442627,0.47619047619047616,21,0,1,GSE154778,v4_unbiased_metadata
IFI44,B cells,2.7534291744232178,0.5714285714285714,21,0,1,GSE154778,v4_unbiased_metadata
GBP2,B cells,2.9816784858703613,0.6190476190476191,21,0,1,GSE154778,v4_unbiased_metadata
NMU,B cells,1.3673282861709595,0.2857142857142857,21,0,1,GSE154778,v4_unbiased_metadata
IFI44L,B cells,1.150816559791565,0.23809523809523808,21,0,1,GSE154778,v4_unbiased_metadata
