dataset,sensitivity,specificity,accuracy,ROC_AUC,tumor_spearman_correlation
TCGA+GTEx Discovery,0.9213483146067416,1.0,0.9594202898550724,0.9844916907757517,0.3550162459599892
GSE62452 Validation,0.5942028985507246,0.9344262295081968,0.7538461538461538,0.8731290092658589,0.46638655462184875
GSE28735 External,0.6444444444444445,0.9333333333333333,0.7888888888888889,0.8962962962962964,0.3330698287220026
