dataset,gene_A,gene_B,min_A,max_A,mean_A,norm_threshold_A,raw_threshold_A,min_B,max_B,mean_B,norm_threshold_B,raw_threshold_B
TCGA+GTEx Discovery,CEACAM5,CST1,-9.9658,11.5911,1.1502046376811594,0.40677820318024827,-1.1969229518637068,-9.9658,11.6214,-0.752048695652174,0.3606846833167901,-2.179627604303789
GSE62452 Validation,CEACAM5,CST1,2.50784,10.643,5.636676461538461,0.40677820318024827,5.817045767383829,3.55816,9.87155,5.909237846153846,0.3606846833167901,5.835303072805389
GSE28735 External,CEACAM5,CST1,2.82028,10.6963,5.890487666666666,0.40677820318024827,6.024073263811699,4.00695,10.4168,6.343932444444444,0.3606846833167901,6.318884717358127
