gene_A,gene_B,gene_A_auc,gene_B_auc,gene_A_log2fc,gene_B_log2fc,correlation,abs_correlation,tumor_AND_activation,normal_AND_activation,AND_sensitivity,AND_specificity,pair_score
CCR6,NDUFC2,0.9963836372199422,0.9971741909439548,8.924084125008408,2.232745428244634,0.7475275403895033,0.7475275403895033,0.9325842696629213,0.005988023952095809,0.9325842696629213,0.9940119760479041,0.233288083833014
CCR6,TPX2,0.9963836372199422,0.9954080602839264,8.924084125008408,6.654686059341989,0.7475134754977615,0.7475134754977615,0.9269662921348315,0.0,0.9269662921348315,1.0,0.23308593520731
COX6B1,CCR6,0.9954921617439276,0.9963836372199422,2.311949498755298,8.924084125008408,0.749297608161695,0.749297608161695,0.9325842696629213,0.0,0.9325842696629213,1.0,0.2328513833974235
AC000089.3,S100A6,0.9984525331359752,0.9968377851039494,3.0299632409338626,6.411394479580163,0.749866518820752,0.749866518820752,0.9325842696629213,0.0,0.9325842696629213,1.0,0.23272123483686497
CCR6,SPA17,0.9963836372199422,0.9945502253919128,8.924084125008408,2.7632888784229293,0.7435884887424327,0.7435884887424327,0.9157303370786517,0.005988023952095809,0.9157303370786517,0.9940119760479041,0.23233978064854258
CCDC96,AC000089.3,0.9951725761959228,0.9984525331359752,2.658767960707798,3.0299632409338626,0.7518983070048771,0.7518983070048771,0.9382022471910112,0.0,0.9382022471910112,1.0,0.23202762563318186
PSMB3,AC000089.3,0.9950548341519208,0.9984525331359752,2.7755753481800447,3.0299632409338626,0.7522615537780848,0.7522615537780848,0.9382022471910112,0.0,0.9382022471910112,1.0,0.23167422965320777
CCR6,S100A6,0.9963836372199422,0.9968377851039494,8.924084125008408,6.411394479580163,0.7507532572313468,0.7507532572313468,0.9325842696629213,0.0,0.9325842696629213,1.0,0.23165577310037844
UQCR10,CCR6,0.9952903182399246,0.9963836372199422,2.180370561124943,8.924084125008408,0.7495199640740986,0.7495199640740986,0.9325842696629213,0.005988023952095809,0.9325842696629213,0.9940119760479041,0.23122834359275923
KIF4A,CCR6,0.996434098095943,0.9963836372199422,6.418663964206419,8.924084125008408,0.7515316588372042,0.7515316588372042,0.9325842696629213,0.0,0.9325842696629213,1.0,0.2308855376713495
CCR6,MRPL14,0.9963836372199422,0.9965350198479448,8.924084125008408,2.674413590795937,0.7518865877917582,0.7518865877917582,0.9325842696629213,0.0,0.9325842696629213,1.0,0.23056740115428181
AC000089.3,MDK,0.9984525331359752,0.9973592141559576,3.0299632409338626,5.13613744533405,0.7540231003066091,0.7540231003066091,0.9382022471910112,0.0,0.9382022471910112,1.0,0.23029280577830522
SERTAD3,AC000089.3,0.9945502253919128,0.9984525331359752,3.3380839063446146,3.0299632409338626,0.7543361173994121,0.7543361173994121,0.9382022471910112,0.0,0.9382022471910112,1.0,0.22967603618213026
NUDT1,CCR6,0.9945838659759132,0.9963836372199422,3.1617194577137866,8.924084125008408,0.752901416561013,0.752901416561013,0.9382022471910112,0.005988023952095809,0.9382022471910112,0.9940119760479041,0.22939952655145213
CCR6,NDUFA13,0.9963836372199422,0.998990782479984,8.924084125008408,2.554904174796474,0.7540527942319232,0.7540527942319232,0.9382022471910112,0.005988023952095809,0.9382022471910112,0.9940119760479041,0.22883601869585646
AC009065.4,AC000089.3,1.0,0.9984525331359752,11.75384606741573,3.0299632409338626,0.7658555652361381,0.7658555652361381,0.9775280898876404,0.0,0.9775280898876404,1.0,0.22870566782751234
PSMB3,CCR6,0.9950548341519208,0.9963836372199422,2.7755753481800447,8.924084125008408,0.7542765222134644,0.7542765222134644,0.9325842696629213,0.0,0.9325842696629213,1.0,0.22817687932371852
CCR6,BLOC1S1,0.9963836372199422,0.995122115319922,8.924084125008408,2.293008490883402,0.7558924557332596,0.7558924557332596,0.9438202247191011,0.005988023952095809,0.9438202247191011,0.9940119760479041,0.2280413837258343
MAD2L1,CCR6,0.9951389356119222,0.9963836372199422,4.156349323824261,8.924084125008408,0.7549100942285132,0.7549100942285132,0.9325842696629213,0.0,0.9325842696629213,1.0,0.22759816076698597
TEX264,AC000089.3,0.9965686604319453,0.9984525331359752,1.974107619592277,3.0299632409338626,0.7571641411848122,0.7571641411848122,0.9382022471910112,0.0,0.9382022471910112,1.0,0.2272619898241367
ATOX1,AC000089.3,0.9969723474399516,0.9984525331359752,2.821290462894436,3.0299632409338626,0.7559781465662933,0.7559781465662933,0.9325842696629213,0.0,0.9325842696629213,1.0,0.2270503598477936
MAN2B1,SPA17,0.9949202718159188,0.9945502253919128,2.349282665007065,2.7632888784229293,0.753420489208381,0.753420489208381,0.9157303370786517,0.0,0.9157303370786517,1.0,0.2246115558863657
CCR6,PKM,0.9963836372199422,0.9953239588239252,8.924084125008408,4.02694682432887,0.7574567212245196,0.7574567212245196,0.9325842696629213,0.005988023952095809,0.9325842696629213,0.9940119760479041,0.22390538099153232
CCR6,EPHX4,0.9963836372199422,0.9968377851039494,8.924084125008408,7.818003390970866,0.7592003999201514,0.7592003999201514,0.9438202247191011,0.011976047904191617,0.9438202247191011,0.9880239520958084,0.2237886540447842
LGALS3BP,CCR6,0.997746080871964,0.9963836372199422,4.172795868936285,8.924084125008408,0.7597315860333455,0.7597315860333455,0.9382022471910112,0.005988023952095809,0.9382022471910112,0.9940119760479041,0.22341286473374317
CCR6,NDUFA1,0.9963836372199422,0.995879028459934,8.924084125008408,2.1289500067281164,0.7609746852512944,0.7609746852512944,0.9438202247191011,0.005988023952095809,0.9438202247191011,0.9940119760479041,0.2233785131657982
CCR6,OCIAD2,0.9963836372199422,0.996938706855951,8.924084125008408,3.9669676209379,0.7615455635194562,0.7615455635194562,0.9382022471910112,0.0,0.9382022471910112,1.0,0.22297153061481978
CCR6,PSMB6,0.9963836372199422,0.9951052950279218,8.924084125008408,1.9886599845253323,0.7593636731518094,0.7593636731518094,0.9325842696629213,0.005988023952095809,0.9325842696629213,0.9940119760479041,0.22212057745713498
CD63,AC000089.3,0.9978470026239656,0.9984525331359752,2.327627726569334,3.0299632409338626,0.764803547587313,0.764803547587313,0.9438202247191011,0.0,0.9438202247191011,1.0,0.22157244818068486
RNASET2,PSMB6,0.9965686604319453,0.9951052950279218,2.8389652694610765,1.9886599845253323,0.7636679592588028,0.7636679592588028,0.9382022471910112,0.0,0.9382022471910112,1.0,0.22080419621989347
TP53TG1,CCR6,0.9946006862679136,0.9963836372199422,2.8377416134024083,8.924084125008408,0.7607820243163373,0.7607820243163373,0.9325842696629213,0.005988023952095809,0.9325842696629213,0.9940119760479041,0.2207554114779064
TCEB2,AC000089.3,0.9960304110879364,0.9984525331359752,2.6273445132207485,3.0299632409338626,0.7656535899758721,0.7656535899758721,0.9438202247191011,0.0,0.9438202247191011,1.0,0.2205707477415227
CCR6,MGST2,0.9963836372199422,0.9968377851039494,8.924084125008408,2.420642397228016,0.761258577159201,0.761258577159201,0.9325842696629213,0.005988023952095809,0.9325842696629213,0.9940119760479041,0.2205631882711368
CCR6,COX7A2,0.9963836372199422,0.9967705039359482,8.924084125008408,2.320042726905739,0.7626972783955938,0.7626972783955938,0.9382022471910112,0.005988023952095809,0.9382022471910112,0.9940119760479041,0.22054727465556745
UQCR10,AC000089.3,0.9952903182399246,0.9984525331359752,2.180370561124943,3.0299632409338626,0.7643249921144054,0.7643249921144054,0.9382022471910112,0.0,0.9382022471910112,1.0,0.22041906036718292
TP53TG1,AC000089.3,0.9946006862679136,0.9984525331359752,2.8377416134024083,3.0299632409338626,0.7643718449212261,0.7643718449212261,0.9382022471910112,0.0,0.9382022471910112,1.0,0.2202990130936671
SNRPD1,CCR6,0.9946847877279148,0.9963836372199422,3.0110962154343013,8.924084125008408,0.7654714193524179,0.7654714193524179,0.9382022471910112,0.0,0.9382022471910112,1.0,0.219052610757766
PSMB6,AC000089.3,0.9951052950279218,0.9984525331359752,1.9886599845253323,3.0299632409338626,0.7657776388926444,0.7657776388926444,0.9382022471910112,0.0,0.9382022471910112,1.0,0.21904011852042746
COX7B,AC000089.3,0.9969387068559512,0.9984525331359752,2.605707387472245,3.0299632409338626,0.7662495714966677,0.7662495714966677,0.9382022471910112,0.0,0.9382022471910112,1.0,0.2187998148383278
MGST2,AC000089.3,0.9968377851039494,0.9984525331359752,2.420642397228016,3.0299632409338626,0.7662601994409666,0.7662601994409666,0.9382022471910112,0.0,0.9382022471910112,1.0,0.21877880082624337
UBE2T,AC000089.3,0.9959463096279352,0.9984525331359752,5.646122027854405,3.0299632409338626,0.7648299560177299,0.7648299560177299,0.9325842696629213,0.0,0.9325842696629213,1.0,0.21870167233927598
