gene_A,gene_B,K_final_A,K_final_B,discovery_sensitivity,discovery_specificity,GSE62452_sensitivity,GSE62452_specificity,tumor_spearman_r,threshold_instability_A,threshold_instability_B,mean_threshold_instability,performance_score,redundancy_penalty,threshold_instability_penalty,pair_score,redundancy_category,target_coexpr_est,max_off_target_coexpr_est,scrna_score
OCIAD2,CEACAM5,0.796545245774221,0.3827813825580026,0.9438202247191012,1.0,0.8115942028985508,0.639344262295082,0.5234417140917473,0.0095736059580269,0.0984764933069095,0.0540250496324682,0.8486896724781835,0.1046883428183494,0.0054025049632468,1.668022684713523,moderate correlation,0.9211788896504456,0.1470588235294117,0.18588477200338716
CEACAM5,GAPDH,0.3827813825580026,0.8254353511976493,0.9269662921348316,1.0,0.6086956521739131,0.8688524590163934,0.2407644423455356,0.0984764933069095,0.008430915605012,0.0534537044559607,0.8511286008312845,0.0481528884691071,0.005345370445596,1.4871638660870468,low-to-moderate correlation / partial independence,0.8732008224811515,0.1470588235294117,0.13790670483409306
CEACAM5,PKM,0.3827813825580026,0.8047205189285296,0.9382022471910112,1.0,0.7101449275362319,0.9016393442622952,0.296541114363808,0.0984764933069095,0.0051554504376445,0.051815971872277,0.8874966297473845,0.0593082228727616,0.0051815971872277,1.4302922187104992,low-to-moderate correlation / partial independence,0.8567511994516792,0.1470588235294117,0.12145708180462078
CEACAM5,TSPAN8,0.3827813825580026,0.690571747691021,0.9213483146067416,1.0,0.9565217391304348,0.2622950819672131,0.6085249173619811,0.0984764933069095,0.0,0.0492382466534547,0.7850412839260973,0.1217049834723962,0.0049238246653454,1.4130590911171486,high redundancy risk,0.886223440712817,0.1470588235294117,0.15092932306575857
CEACAM5,KRT7,0.3827813825580026,0.7749186196690546,0.8820224719101124,1.0,0.7101449275362319,0.7868852459016393,0.2793823350117556,0.0984764933069095,0.0,0.0492382466534547,0.8447631613369959,0.0558764670023511,0.0049238246653454,1.4015292930858236,low-to-moderate correlation / partial independence,0.8588074023303632,0.1470588235294117,0.1235132846833048
CEACAM5,TXN,0.3827813825580026,0.8669527154073219,0.9157303370786516,1.0,0.5217391304347826,0.9016393442622952,0.3901315687986953,0.0984764933069095,0.0155998697859093,0.0570381815464094,0.8347772029439323,0.078026313759739,0.0057038181546409,1.3583324800526562,low-to-moderate correlation / partial independence,0.8567511994516792,0.1470588235294117,0.12145708180462078
CEACAM5,S100A6,0.3827813825580026,0.5674889368539988,0.9550561797752808,0.9520958083832336,1.0,0.0,0.480859683785042,0.0984764933069095,0.4038657702968961,0.2511711318019028,0.7267879970396286,0.0961719367570084,0.0251171131801902,1.356718557633416,moderate correlation,0.8855380397532556,0.1470588235294117,0.1502439221061972
CEACAM5,NQO1,0.3827813825580026,0.7274005102169699,0.9325842696629212,1.0,0.927536231884058,0.639344262295082,0.6026503136157149,0.0984764933069095,0.0314837800240527,0.0649801366654811,0.8748661909605153,0.1205300627231429,0.0064980136665481,1.2386053604685001,high redundancy risk,0.8334475668265936,0.1470588235294117,0.09815344917953517
CEACAM5,ARL6IP1,0.3827813825580026,0.7990952699241521,0.9382022471910112,1.0,1.0,0.0,0.5348918239890461,0.0984764933069095,0.0,0.0492382466534547,0.7345505617977528,0.1069783647978092,0.0049238246653454,1.1408316566147274,moderate correlation,0.8389307745030843,0.1470588235294117,0.10363665685602585
CEACAM5,TFF1,0.3827813825580026,0.5716120235084965,0.898876404494382,0.9640718562874252,1.0,0.0163934426229508,0.5856723903419054,0.0984764933069095,0.0,0.0492382466534547,0.7198354258511894,0.117134478068381,0.0049238246653454,1.1399494409822395,moderate correlation,0.8437285812200137,0.1470588235294117,0.10843446357295528
