top_N,median_pair_score,median_performance_score,median_scrna_score,median_target_coexpr,median_off_target_coexpr,most_common_off_target_compartment
20,-1.294178782568817,0.6992824966562825,-0.38020344287949925,0.15197183098591546,0.1111111111111111,CD8 T cells
50,-1.6091913253530512,0.7162458790284599,-0.4549921752738655,0.1228169014084507,0.1111111111111111,T cells
100,-1.9911280683003807,0.7162458790284599,-0.5223443889141298,0.1228169014084507,0.1290322580645161,T cells
200,-2.956926283559156,0.7205056179775281,-0.7223872045834329,0.1250704225352112,0.1694915254237288,T cells
